"gene","sample","expression"
"Asl","GSM2545336",1170
"Apod","GSM2545336",36194
"Cyp2d22","GSM2545336",4060
"Klk6","GSM2545336",287
"Fcrls","GSM2545336",85
"Slc2a4","GSM2545336",782
"Exd2","GSM2545336",1619
"Gjc2","GSM2545336",288
"Plp1","GSM2545336",43217
"Gnb4","GSM2545336",1071
"Tnc","GSM2545336",219
"Trf","GSM2545336",9719
"Tubb2b","GSM2545336",2245
"Fads1","GSM2545336",6498
"Lxn","GSM2545336",1744
"Prr18","GSM2545336",1284
"Cmtm5","GSM2545336",1381
"Enpp1","GSM2545336",388
"Clic4","GSM2545336",5795
"Tm6sf2","GSM2545336",32
"Slc20a2","GSM2545336",8044
"Itih3","GSM2545336",5918
"Ptn","GSM2545336",5156
"Prodh","GSM2545336",2385
"Msantd1","GSM2545336",85
"Ugt8a","GSM2545336",1239
"Fbln5","GSM2545336",1589
"Trp53inp2","GSM2545336",8374
"Slc7a3","GSM2545336",236
"Dnase1l2","GSM2545336",169
"Icosl","GSM2545336",1198
"Rmnd1","GSM2545336",797
"Tssk5","GSM2545336",368
"Pycr1","GSM2545336",19
"Pla2g3","GSM2545336",515
"Vmn2r1","GSM2545336",116
"Gm29797","GSM2545336",30
"Phyhd1","GSM2545336",2154
"Gpr146","GSM2545336",1520
"Mag","GSM2545336",5250
"Tufm","GSM2545336",1581
"Igdcc4","GSM2545336",2101
"Gm10654","GSM2545336",472
"Ncmap","GSM2545336",143
"Etv4","GSM2545336",208
"Fabp7","GSM2545336",215
"Cpsf4l","GSM2545336",7
"Hexa","GSM2545336",1208
"Mfge8","GSM2545336",1290
"Ccdc136","GSM2545336",6225
"Glul","GSM2545336",89445
"Hopx","GSM2545336",3965
"Pigq","GSM2545336",3353
"Vps11","GSM2545336",4372
"Proca1","GSM2545336",158
"Fbxl22","GSM2545336",39
"Sfxn5","GSM2545336",8426
"Hexim2","GSM2545336",896
"Agt","GSM2545336",8586
"Rlbp1","GSM2545336",209
"Jam2","GSM2545336",3033
"Lcat","GSM2545336",1239
"Oxct1","GSM2545336",11355
"Cacna1e","GSM2545336",5200
"Fa2h","GSM2545336",1254
"Plxnb3","GSM2545336",724
"Lman2l","GSM2545336",864
"Dpy19l1","GSM2545336",2157
"Kctd21","GSM2545336",549
"Thra","GSM2545336",17222
"Dok3","GSM2545336",78
"Sult1a1","GSM2545336",1658
"Rpe","GSM2545336",872
"Acrbp","GSM2545336",231
"Slc2a9","GSM2545336",190
"Emp2","GSM2545336",993
"Aipl1","GSM2545336",91
"Uri1","GSM2545336",2955
"Bcs1l","GSM2545336",343
"Rbm3","GSM2545336",11184
"Tra2a","GSM2545336",3405
"Prex1","GSM2545336",3573
"Josd2","GSM2545336",1132
"Tmco3","GSM2545336",1289
"Srebf1","GSM2545336",4044
"Acer2","GSM2545336",983
"Tsga10","GSM2545336",231
"Cyp3a13","GSM2545336",238
"Relt","GSM2545336",1147
"Nrep","GSM2545336",26832
"Slc14a1","GSM2545336",1344
"Pnpla2","GSM2545336",2366
"Map6d1","GSM2545336",1619
"Ier5","GSM2545336",1233
"Bfsp2","GSM2545336",60
"Idi1","GSM2545336",465
"Kat2b","GSM2545336",7775
"Rmdn3","GSM2545336",4047
"Eif4b","GSM2545336",12319
"Grm4","GSM2545336",9157
"Pink1","GSM2545336",27791
"Mettl16","GSM2545336",752
"Fam193b","GSM2545336",2226
"Rtca","GSM2545336",2145
"Fgfbp1","GSM2545336",188
"Pigs","GSM2545336",2208
"Cfp","GSM2545336",485
"Desi1","GSM2545336",5120
"Gbp4","GSM2545336",816
"Nid1","GSM2545336",776
"Armcx5","GSM2545336",1189
"Cryab","GSM2545336",2328
"Prss53","GSM2545336",73
"Car4","GSM2545336",3195
"Gm6277","GSM2545336",134
"Amt","GSM2545336",709
"Zc3h6","GSM2545336",1980
"Aqp4","GSM2545336",15950
"Tmem198b","GSM2545336",689
"Abi3bp","GSM2545336",807
"Xpa","GSM2545336",665
"Aldh6a1","GSM2545336",5851
"Adam1a","GSM2545336",440
"Dynlt1a","GSM2545336",397
"Gatm","GSM2545336",3748
"H2-Q4","GSM2545336",535
"Nras","GSM2545336",1472
"Pla2g4e","GSM2545336",1064
"Lpar1","GSM2545336",1535
"Il12rb1","GSM2545336",154
"Enpp6","GSM2545336",378
"Ermn","GSM2545336",2737
"Marcksl1","GSM2545336",880
"Ubqln4","GSM2545336",2976
"Glt8d1","GSM2545336",1129
"Ddx25","GSM2545336",1990
"Gpr17","GSM2545336",500
"Cat","GSM2545336",2143
"Wwox","GSM2545336",1317
"Phkg1","GSM2545336",528
"Ppp1r3f","GSM2545336",1479
"Mrpl35","GSM2545336",1018
"Nudt9","GSM2545336",2112
"Lypd6","GSM2545336",2006
"Spice1","GSM2545336",494
"Tuba8","GSM2545336",1047
"Spon1","GSM2545336",5825
"Nfya","GSM2545336",831
"Sc5d","GSM2545336",3473
"Aldh18a1","GSM2545336",760
"Ebp","GSM2545336",798
"Srr","GSM2545336",2107
"Gm14827","GSM2545336",198
"Gm31135","GSM2545336",21
"Adam17","GSM2545336",965
"Slc39a2","GSM2545336",469
"Snn","GSM2545336",7118
"Hnrnpc","GSM2545336",7924
"Srbd1","GSM2545336",366
"Ptp4a1","GSM2545336",1395
"Tppp","GSM2545336",8715
"Stac3","GSM2545336",101
"Emid1","GSM2545336",284
"Cotl1","GSM2545336",5397
"Ovgp1","GSM2545336",1301
"Ssx2ip","GSM2545336",4386
"Hsd3b7","GSM2545336",546
"Kazald1","GSM2545336",372
"Omd","GSM2545336",413
"Bcas1","GSM2545336",5485
"Gm9925","GSM2545336",689
"Dleu2","GSM2545336",247
"Chil3","GSM2545336",111
"Deaf1","GSM2545336",3343
"Dusp19","GSM2545336",205
"Gkn3","GSM2545336",25
"Pllp","GSM2545336",1134
"Sox2ot","GSM2545336",596
"Ntf3","GSM2545336",75
"Lum","GSM2545336",136
"Gm20751","GSM2545336",240
"Thnsl2","GSM2545336",274
"Slc2a4rg-ps","GSM2545336",273
"Agpat5","GSM2545336",3065
"Mdk","GSM2545336",690
"Penk","GSM2545336",4674
"Cirbp","GSM2545336",7079
"Aloxe3","GSM2545336",703
"Nudt5","GSM2545336",404
"Serpinb1a","GSM2545336",353
"Mt1","GSM2545336",15774
"Fgfr3","GSM2545336",5921
"Myo1d","GSM2545336",552
"Cd99l2","GSM2545336",3092
"C2cd2","GSM2545336",820
"Brsk2","GSM2545336",8578
"Mrrf","GSM2545336",481
"Snhg4","GSM2545336",404
"Hmgcs1","GSM2545336",5441
"Stk17b","GSM2545336",3853
"Cyp51","GSM2545336",1787
"Gria4","GSM2545336",19381
"Ttyh1","GSM2545336",35445
"Slc13a1","GSM2545336",75
"Phf7","GSM2545336",364
"Get4","GSM2545336",1766
"Gstm1","GSM2545336",12043
"Fbxo31","GSM2545336",3869
"Padi2","GSM2545336",890
"Gnmt","GSM2545336",327
"Paip2b","GSM2545336",5199
"Slc17a9","GSM2545336",66
"Vopp1","GSM2545336",1574
"Ogdhl","GSM2545336",5470
"Dcaf12","GSM2545336",2537
"Rorc","GSM2545336",1565
"Cp","GSM2545336",2265
"Jade2","GSM2545336",3370
"Nbl1","GSM2545336",5297
"Hsph1","GSM2545336",3818
"Serf2","GSM2545336",3264
"Rasgef1a","GSM2545336",5400
"Prrg1","GSM2545336",373
"Etnppl","GSM2545336",9066
"Cyp4f15","GSM2545336",288
"Ankrd29","GSM2545336",989
"Gm27252","GSM2545336",156
"Kctd2","GSM2545336",4345
"Iigp1","GSM2545336",299
"Ak4","GSM2545336",4031
"Idh2","GSM2545336",2188
"Camkk1","GSM2545336",3772
"Rftn2","GSM2545336",1182
"Igtp","GSM2545336",372
"Bche","GSM2545336",338
"Marcks","GSM2545336",6007
"Pabpc4","GSM2545336",747
"Pmp22","GSM2545336",1404
"Car14","GSM2545336",1636
"Serpinh1","GSM2545336",753
"Ppp1r13b","GSM2545336",3771
"Tfrc","GSM2545336",10468
"Smox","GSM2545336",3239
"Tjap1","GSM2545336",614
"Msmo1","GSM2545336",1666
"Slc26a8","GSM2545336",243
"Eml3","GSM2545336",1897
"Csf2ra","GSM2545336",354
"Rnf141","GSM2545336",3030
"Slc25a16","GSM2545336",2086
"Echdc1","GSM2545336",1157
"Eid2b","GSM2545336",1163
"Piga","GSM2545336",428
"Ccdc149","GSM2545336",1719
"Car15","GSM2545336",374
"Eny2","GSM2545336",3848
"Mroh1","GSM2545336",5434
"Pcyox1l","GSM2545336",597
"Ankrd39","GSM2545336",667
"Timeless","GSM2545336",590
"Sparc","GSM2545336",69090
"Slc7a10","GSM2545336",1347
"Ppp1r2","GSM2545336",6102
"Psmf1","GSM2545336",1693
"Adat1","GSM2545336",192
"Slc6a12","GSM2545336",343
"Snhg3","GSM2545336",404
"Prg4","GSM2545336",1197
"Plod1","GSM2545336",771
"Whamm","GSM2545336",1483
"Ttpa","GSM2545336",428
"Thbs3","GSM2545336",401
"Gltp","GSM2545336",1421
"Pex6","GSM2545336",1489
"Aim2","GSM2545336",305
"Ednrb","GSM2545336",5386
"Nuf2","GSM2545336",114
"Mog","GSM2545336",2065
"Ccl27a","GSM2545336",1441
"Tac4","GSM2545336",45
"Snhg8","GSM2545336",616
"Ak6","GSM2545336",263
"Kctd20","GSM2545336",2738
"Itgb4","GSM2545336",569
"Zfp810","GSM2545336",970
"Gm33489","GSM2545336",85
"Gna12","GSM2545336",1577
"Cyp4v3","GSM2545336",978
"Pkp4","GSM2545336",10610
"Agpat1","GSM2545336",2306
"Gipr","GSM2545336",90
"Edn3","GSM2545336",186
"Prr15","GSM2545336",90
"Traf1","GSM2545336",165
"Pim2","GSM2545336",1226
"Lrrc8a","GSM2545336",5236
"Erp44","GSM2545336",1654
"Tmem33","GSM2545336",5212
"Fen1","GSM2545336",989
"Tfap4","GSM2545336",571
"Lman2","GSM2545336",3152
"Senp8","GSM2545336",265
"Alg14","GSM2545336",710
"Ddah1","GSM2545336",4319
"Pomt1","GSM2545336",531
"Rab3b","GSM2545336",917
"Lrrc29","GSM2545336",140
"Nqo1","GSM2545336",686
"Gpr137b","GSM2545336",539
"Pcif1","GSM2545336",3272
"Qdpr","GSM2545336",4635
"Dcdc2b","GSM2545336",193
"Rap2a","GSM2545336",2161
"Cnpy4","GSM2545336",480
"Wdr41","GSM2545336",1463
"Gm20627","GSM2545336",13
"Mmaa","GSM2545336",1247
"Gm13562","GSM2545336",12
"Cd70","GSM2545336",16
"Itm2a","GSM2545336",1769
"Avil","GSM2545336",29
"Zscan22","GSM2545336",483
"Itgb3","GSM2545336",52
"Col11a2","GSM2545336",389
"Apoc1","GSM2545336",255
"Tmeff2","GSM2545336",2237
"Tyro3","GSM2545336",5545
"Ift22","GSM2545336",948
"Mtmr7","GSM2545336",3319
"Gabrr2","GSM2545336",178
"Ube2v2","GSM2545336",1911
"C77080","GSM2545336",1832
"Elovl5","GSM2545336",3887
"Serinc5","GSM2545336",2456
"Pyroxd2","GSM2545336",142
"Ypel2","GSM2545336",1652
"Parp3","GSM2545336",547
"Xpo1","GSM2545336",4683
"Polr2a","GSM2545336",7881
"Tspyl4","GSM2545336",25681
"Irgm1","GSM2545336",640
"Cep131","GSM2545336",1345
"Sema4d","GSM2545336",3309
"Gbp6","GSM2545336",340
"Zfp119b","GSM2545336",387
"Eps15","GSM2545336",12463
"Pxmp2","GSM2545336",309
"Tomm40l","GSM2545336",1681
"Atat1","GSM2545336",1082
"Chrac1","GSM2545336",587
"Mrpl24","GSM2545336",1332
"Ipo9","GSM2545336",10792
"Actg1","GSM2545336",7267
"Noxred1","GSM2545336",31
"Gm20501","GSM2545336",208
"H2-K1","GSM2545336",1883
"Lig1","GSM2545336",914
"Morn2","GSM2545336",195
"Dcakd","GSM2545336",961
"Nop14","GSM2545336",1399
"Bbs1","GSM2545336",1362
"Tada2b","GSM2545336",1775
"Gal3st1","GSM2545336",205
"Xpc","GSM2545336",1173
"Irf2bp2","GSM2545336",2747
"Spns2","GSM2545336",2875
"Pole","GSM2545336",208
"Fam78b","GSM2545336",1627
"Ggcx","GSM2545336",695
"Anks1","GSM2545336",2126
"Pgm2","GSM2545336",5325
"Zgrf1","GSM2545336",644
"Alkbh3","GSM2545336",759
"Dnd1","GSM2545336",26
"Lime1","GSM2545336",1612
"Trim23","GSM2545336",5526
"Abhd14a","GSM2545336",490
"Zkscan3","GSM2545336",1732
"Fam131b","GSM2545336",11825
"Elovl1","GSM2545336",631
"Trim72","GSM2545336",81
"Klhdc9","GSM2545336",228
"Iqck","GSM2545336",166
"Smim14","GSM2545336",7435
"Kcnab3","GSM2545336",2548
"Ing5","GSM2545336",846
"Cnnm3","GSM2545336",3136
"Fn3k","GSM2545336",906
"Cnp","GSM2545336",13472
"Uros","GSM2545336",597
"Eml1","GSM2545336",2567
"Lgals3","GSM2545336",168
"Gjb1","GSM2545336",545
"Dynll1","GSM2545336",2138
"Cyp2j12","GSM2545336",98
"Crip3","GSM2545336",10
"Sbk1","GSM2545336",20241
"Camkk2","GSM2545336",8561
"Setd7","GSM2545336",12395
"Btf3l4","GSM2545336",2694
"Acbd4","GSM2545336",1859
"Gm16835","GSM2545336",356
"Gpr37","GSM2545336",1924
"Prr5l","GSM2545336",546
"Slain1","GSM2545336",1858
"Calr","GSM2545336",8891
"Bst1","GSM2545336",54
"Fmnl3","GSM2545336",557
"Gpr89","GSM2545336",552
"Zranb1","GSM2545336",8837
"Col27a1","GSM2545336",456
"Emc8","GSM2545336",4140
"Ormdl3","GSM2545336",4058
"Capg","GSM2545336",198
"Zbtb21","GSM2545336",815
"Sord","GSM2545336",1153
"Tsc22d1","GSM2545336",10012
"Gpld1","GSM2545336",3774
"Cdh4","GSM2545336",684
"Hkdc1","GSM2545336",163
"Ggact","GSM2545336",1986
"Zfp493","GSM2545336",124
"Mkks","GSM2545336",1213
"Gm15423","GSM2545336",146
"Npas2","GSM2545336",344
"Plin4","GSM2545336",2284
"Rragc","GSM2545336",3899
"Nsun3","GSM2545336",793
"Hgsnat","GSM2545336",3735
"Acr","GSM2545336",165
"Ccdc167","GSM2545336",1140
"Thap1","GSM2545336",393
"Egfl8","GSM2545336",85
"Vps33a","GSM2545336",5585
"Igbp1","GSM2545336",1835
"Tbx6","GSM2545336",36
"Dcst2","GSM2545336",56
"Rbm28","GSM2545336",1640
"Pms1","GSM2545336",558
"Rtcb","GSM2545336",5106
"Smad9","GSM2545336",2384
"Ubxn2b","GSM2545336",656
"Rnf170","GSM2545336",2238
"Pithd1","GSM2545336",3277
"Steap3","GSM2545336",53
"Tomm20","GSM2545336",12447
"Klf15","GSM2545336",2619
"Amz2","GSM2545336",1585
"Folh1","GSM2545336",956
"Ubfd1","GSM2545336",2688
"Gpx3","GSM2545336",1045
"C4b","GSM2545336",1162
"Mdfi","GSM2545336",345
"Nucb2","GSM2545336",460
"Clip4","GSM2545336",2217
"Tipin","GSM2545336",990
"Amy1","GSM2545336",1353
"Efhd1","GSM2545336",1670
"Smim15","GSM2545336",1897
"Zfp658","GSM2545336",712
"E2f6","GSM2545336",1730
"Lix1","GSM2545336",379
"Coq4","GSM2545336",286
"Otoa","GSM2545336",98
"Mex3a","GSM2545336",147
"Tmem132c","GSM2545336",1669
"Dclk1","GSM2545336",14189
"Eml2","GSM2545336",5852
"Glyr1","GSM2545336",10017
"Gm1976","GSM2545336",606
"Smyd3","GSM2545336",1943
"Dcaf8","GSM2545336",9394
"Lias","GSM2545336",1412
"Msn","GSM2545336",2693
"Timmdc1","GSM2545336",540
"H2-Q6","GSM2545336",148
"Asic3","GSM2545336",85
"Col5a3","GSM2545336",507
"Stx3","GSM2545336",3644
"AW046200","GSM2545336",83
"Hsf1","GSM2545336",1293
"Colq","GSM2545336",121
"Rcor3","GSM2545336",1668
"Slc6a20a","GSM2545336",1389
"Prps1","GSM2545336",3015
"Keap1","GSM2545336",2757
"Tap2","GSM2545336",609
"Slc16a7","GSM2545336",1065
"Eif2b3","GSM2545336",818
"Flywch1","GSM2545336",16657
"Amigo2","GSM2545336",1353
"Hspd1","GSM2545336",7124
"Sost","GSM2545336",17
"Gm8615","GSM2545336",10
"Kcnk13","GSM2545336",140
"Tspyl2","GSM2545336",6901
"Spsb3","GSM2545336",3445
"Gm8493","GSM2545336",12
"Fgf22","GSM2545336",163
"Slc6a6","GSM2545336",7622
"Xist","GSM2545336",39967
"Ddx3y","GSM2545336",1
"Eif2s3y","GSM2545336",0
"Kdm5d","GSM2545336",0
"Uty","GSM2545336",0
"Eif2s3x","GSM2545336",2767
"Kdm6a","GSM2545336",3329
"Casp12","GSM2545336",407
"Ddx3x","GSM2545336",28751
"Prl2c3","GSM2545336",93
"Casp1","GSM2545336",100
"Pbdc1","GSM2545336",489
"Kdm5c","GSM2545336",4566
"Ctxn2","GSM2545336",229
"Ldoc1","GSM2545336",340
"Gpr179","GSM2545336",72
"Pou4f1","GSM2545336",75
"Tmprss3","GSM2545336",58
"Prl2c2","GSM2545336",22
"Slc35b1","GSM2545336",1751
"Myoc","GSM2545336",384
"Cartpt","GSM2545336",248
"Tchh","GSM2545336",118
"H2-Q2","GSM2545336",66
"Ascl1","GSM2545336",161
"Crhr1","GSM2545336",2659
"Gm4017","GSM2545336",14
"Impg1","GSM2545336",63
"Rxfp3","GSM2545336",34
"AI504432","GSM2545336",1230
"Mpo","GSM2545336",6
"Oxtr","GSM2545336",41
"Usp2","GSM2545336",4867
"Lor","GSM2545336",39
"Srrm4","GSM2545336",3525
"Slc35g1","GSM2545336",229
"Tceal6","GSM2545336",1453
"Dach2","GSM2545336",79
"Lgr6","GSM2545336",297
"Kcna4","GSM2545336",269
"Zfyve28","GSM2545336",3747
"Hps4","GSM2545336",589
"Ucp3","GSM2545336",181
"Mettl17","GSM2545336",811
"Atg9b","GSM2545336",117
"Usp3","GSM2545336",4594
"Acta2","GSM2545336",234
"Wdr24","GSM2545336",630
"Zw10","GSM2545336",1479
"Ubtd2","GSM2545336",2789
"Slc6a4","GSM2545336",268
"Cog1","GSM2545336",1803
"S100a9","GSM2545336",122
"Nadk","GSM2545336",2546
"Col6a1","GSM2545336",698
"Susd2","GSM2545336",284
"Fam53b","GSM2545336",2539
"Npas1","GSM2545336",72
"Rhbdf1","GSM2545336",571
"Cacnb1","GSM2545336",999
"Zfp579","GSM2545336",721
"Dtx4","GSM2545336",1145
"Chrm3","GSM2545336",217
"Plcl2","GSM2545336",1883
"Ptprj","GSM2545336",3969
"Cyhr1","GSM2545336",5673
"Stx5a","GSM2545336",2548
"Smim8","GSM2545336",531
"Pappa2","GSM2545336",13
"Stbd1","GSM2545336",30
"Rln3","GSM2545336",5
"Ldlr","GSM2545336",1314
"Bmp2","GSM2545336",66
"Itga10","GSM2545336",258
"Unc45a","GSM2545336",1529
"Hap1","GSM2545336",4313
"Gm35339","GSM2545336",245
"Serpinb8","GSM2545336",115
"Tmem200c","GSM2545336",267
"Ngb","GSM2545336",208
"Myh11","GSM2545336",234
"Ass1","GSM2545336",982
"Ccdc28b","GSM2545336",2030
"Vsx2","GSM2545336",25
"Klhl1","GSM2545336",347
"Slit1","GSM2545336",408
"Rbm10","GSM2545336",2726
"Sgk1","GSM2545336",9471
"Zbtb24","GSM2545336",789
"Kif5a","GSM2545336",40211
"Alox8","GSM2545336",194
"Rgcc","GSM2545336",302
"Olfr1033","GSM2545336",59
"Lrrn4","GSM2545336",13
"Trim59","GSM2545336",802
"Pnma2","GSM2545336",501
"Arc","GSM2545336",731
"Lypd6b","GSM2545336",272
"Prkar2b","GSM2545336",897
"Gabrd","GSM2545336",5973
"Sh3gl1","GSM2545336",1711
"Rab9b","GSM2545336",1117
"Slc9a2","GSM2545336",269
"Gata3","GSM2545336",100
"Rnd3","GSM2545336",646
"Tdgf1","GSM2545336",369
"Tph2","GSM2545336",488
"Gprc5c","GSM2545336",2570
"Syt16","GSM2545336",319
"Cdyl","GSM2545336",626
"St8sia2","GSM2545336",136
"Usp19","GSM2545336",5986
"Foxj2","GSM2545336",2585
"Wdfy2","GSM2545336",1899
"Fibcd1","GSM2545336",134
"Hs3st4","GSM2545336",276
"Rab27b","GSM2545336",706
"Gm4988","GSM2545336",220
"Hebp1","GSM2545336",217
"Mrgpre","GSM2545336",183
"Slc22a4","GSM2545336",2582
"Txndc11","GSM2545336",1468
"Pgr15l","GSM2545336",33
"Evpl","GSM2545336",101
"Pax7","GSM2545336",78
"Trim65","GSM2545336",183
"Gm33533","GSM2545336",33
"Otof","GSM2545336",131
"Alk","GSM2545336",91
"Acap3","GSM2545336",3695
"Erdr1","GSM2545336",510
"Kcnq5","GSM2545336",217
"Msln","GSM2545336",117
"Tbc1d20","GSM2545336",1556
"Slc16a10","GSM2545336",321
"Errfi1","GSM2545336",2632
"Nr2e1","GSM2545336",21
"Gpr149","GSM2545336",36
"Plcxd1","GSM2545336",266
"Lrch3","GSM2545336",4436
"Morc2b","GSM2545336",112
"Elfn1","GSM2545336",198
"Rnf180","GSM2545336",371
"Pcdhb8","GSM2545336",133
"Creg2","GSM2545336",843
"Erich3","GSM2545336",896
"Rpp25","GSM2545336",281
"Fgfr1","GSM2545336",7369
"Sfrp2","GSM2545336",58
"Rprm","GSM2545336",127
"Tmem120b","GSM2545336",691
"Tpra1","GSM2545336",1601
"Igsf9","GSM2545336",24
"Jakmip1","GSM2545336",1094
"Hsf4","GSM2545336",358
"Pcbd1","GSM2545336",188
"Rasgrf2","GSM2545336",1286
"Dgkk","GSM2545336",147
"Paxip1","GSM2545336",1956
"Smtn","GSM2545336",270
"Cmpk2","GSM2545336",883
"Drd4","GSM2545336",34
"Samd11","GSM2545336",43
"Magel2","GSM2545336",121
"Csrnp3","GSM2545336",2054
"Zfp941","GSM2545336",910
"Lrrc1","GSM2545336",783
"Tmie","GSM2545336",384
"Pcdh8","GSM2545336",234
"Glra2","GSM2545336",356
"Gpatch8","GSM2545336",5720
"Slc6a16","GSM2545336",24
"Grm7","GSM2545336",887
"Ybx3","GSM2545336",1760
"Tenm3","GSM2545336",1057
"Npffr1","GSM2545336",26
"Slc39a11","GSM2545336",495
"Otp","GSM2545336",16
"Hoga1","GSM2545336",82
"Egfl6","GSM2545336",23
"Plch2","GSM2545336",6677
"Pde11a","GSM2545336",106
"Zfp335","GSM2545336",1568
"Gpr61","GSM2545336",279
"Tox","GSM2545336",178
"Gabrr1","GSM2545336",20
"Jun","GSM2545336",2611
"Cox7b2","GSM2545336",19
"Mn1","GSM2545336",329
"Tmem130","GSM2545336",5202
"Dusp11","GSM2545336",6174
"Tmem91","GSM2545336",211
"Rbms2","GSM2545336",1128
"Inpp5j","GSM2545336",6008
"Vstm2a","GSM2545336",1545
"C1qtnf2","GSM2545336",56
"Ctns","GSM2545336",1122
"Smarcd2","GSM2545336",3670
"Dbpht2","GSM2545336",109
"Ltbp2","GSM2545336",2143
"Drd1","GSM2545336",29
"Dact2","GSM2545336",291
"E4f1","GSM2545336",1253
"Zfp598","GSM2545336",2892
"Zcchc12","GSM2545336",1833
"Zfp263","GSM2545336",1602
"Tspyl3","GSM2545336",743
"Arhgap10","GSM2545336",817
"Plxnb2","GSM2545336",5892
"Doc2a","GSM2545336",244
"Tmem29","GSM2545336",608
"Dpf2","GSM2545336",2936
"Foxl2os","GSM2545336",30
"Slc47a1","GSM2545336",403
"Nap1l5","GSM2545336",30055
"Mapk7","GSM2545336",1186
"Grem2","GSM2545336",324
"Pcdh10","GSM2545336",2386
"Nol3","GSM2545336",360
"Gpr83","GSM2545336",112
"Nrsn2","GSM2545336",3488
"Prss16","GSM2545336",23
"Pcdh18","GSM2545336",180
"Emx2","GSM2545336",30
"Ccdc81","GSM2545336",73
"Rwdd2a","GSM2545336",561
"Mpped1","GSM2545336",378
"Galnt7","GSM2545336",2240
"S100a8","GSM2545336",94
"Mau2","GSM2545336",5602
"Ptpn23","GSM2545336",2477
"Sstr1","GSM2545336",229
"Wdfy4","GSM2545336",61
"Anxa3","GSM2545336",653
"C3","GSM2545336",102
"Tead4","GSM2545336",248
"Clvs2","GSM2545336",462
"Gaa","GSM2545336",9304
"Zfp219","GSM2545336",4969
"Bves","GSM2545336",15
"Tmem161a","GSM2545336",1010
"Unc5d","GSM2545336",1063
"Cd180","GSM2545336",42
"Scml4","GSM2545336",56
"Stk38","GSM2545336",2396
"Sox17","GSM2545336",251
"Srsf9","GSM2545336",1414
"Herpud1","GSM2545336",3678
"Hmbs","GSM2545336",512
"Gm2824","GSM2545336",109
"Mir1901","GSM2545336",24
"Adamts19","GSM2545336",19
"Zfp36l1","GSM2545336",1510
"Impact","GSM2545336",10526
"Trmt6","GSM2545336",1890
"Plekhm1","GSM2545336",1621
"Basp1","GSM2545336",2299
"Grid1","GSM2545336",1256
"Zdbf2","GSM2545336",602
"Tal1","GSM2545336",197
"Raf1","GSM2545336",4400
"Pgpep1l","GSM2545336",21
"Fzd4","GSM2545336",1203
"Tfdp1","GSM2545336",1925
"Pdzrn4","GSM2545336",111
"Ier3","GSM2545336",669
"Mir378a","GSM2545336",12
"Magee2","GSM2545336",128
"Plekhg2","GSM2545336",295
"Boc","GSM2545336",4017
"Ddx39b","GSM2545336",6321
"H2-T24","GSM2545336",93
"Insm1","GSM2545336",37
"Vstm5","GSM2545336",147
"Kctd4","GSM2545336",188
"Oprm1","GSM2545336",166
"Zfand6","GSM2545336",2831
"Cx3cl1","GSM2545336",3197
"Tacr3","GSM2545336",96
"Gpr4","GSM2545336",155
"Ptgis","GSM2545336",129
"Ccdc28a","GSM2545336",489
"Ido2","GSM2545336",22
"Elfn2","GSM2545336",1321
"Ngp","GSM2545336",68
"Ptpro","GSM2545336",400
"Neto1","GSM2545336",344
"Col6a2","GSM2545336",535
"Fev","GSM2545336",23
"Mmab","GSM2545336",839
"Resp18","GSM2545336",1354
"Amn","GSM2545336",39
"Tmem132b","GSM2545336",937
"St6gal2","GSM2545336",275
"Tbc1d25","GSM2545336",783
"Pdcd2l","GSM2545336",743
"Acot3","GSM2545336",24
"Gm5468","GSM2545336",18
"Atg16l1","GSM2545336",2381
"Rpl14-ps1","GSM2545336",38
"Glra3","GSM2545336",339
"Plekhh3","GSM2545336",1920
"Pcdhga1","GSM2545336",173
"Gm9899","GSM2545336",1122
"Eps8l1","GSM2545336",437
"Serpina3g","GSM2545336",37
"Pcdh17","GSM2545336",1747
"Riok3","GSM2545336",4277
"Dcaf12l2","GSM2545336",24
"Ankrd6","GSM2545336",775
"Dhrs11","GSM2545336",514
"Zdhhc22","GSM2545336",378
"Hmgb3","GSM2545336",627
"Mid1","GSM2545336",268
"Celf3","GSM2545336",1744
"Akap5","GSM2545336",297
"Phlda3","GSM2545336",608
"Arfgap2","GSM2545336",4200
"Gabpb1","GSM2545336",1408
"Mybpc1","GSM2545336",2896
"Nfkbia","GSM2545336",1622
"Gabra3","GSM2545336",1470
"Gtpbp2","GSM2545336",2428
"Ptgdr","GSM2545336",25
"Myh15","GSM2545336",26
"Ciz1","GSM2545336",1589
"Tmem62","GSM2545336",2994
"Pan3","GSM2545336",5156
"Pld3","GSM2545336",3588
"Trim3","GSM2545336",7438
"Spata2l","GSM2545336",613
"Gm2223","GSM2545336",27
"Dnah1","GSM2545336",190
"Pnoc","GSM2545336",143
"Dzank1","GSM2545336",10981
"Safb2","GSM2545336",2858
"Rnf128","GSM2545336",1297
"Jpx","GSM2545336",365
"Il16","GSM2545336",6634
"Slc26a7","GSM2545336",436
"Rspo1","GSM2545336",36
"Hcfc2","GSM2545336",1841
"Gm35315","GSM2545336",90
"Tyrp1","GSM2545336",6
"Pank4","GSM2545336",1862
"Ngef","GSM2545336",758
"Llgl1","GSM2545336",3151
"Usp12","GSM2545336",2820
"Ppp2r2d","GSM2545336",2854
"Zfp677","GSM2545336",125
"Heyl","GSM2545336",191
