Ensembl Gene ID	Associated Gene Name	Description	EntrezGene ID
ENSMUSG00000023353	Agap3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:MGI Symbol;Acc:MGI:2183446]	213990
ENSMUSG00000038668	Lpar1	lysophosphatidic acid receptor 1 [Source:MGI Symbol;Acc:MGI:108429]	14745
ENSMUSG00000090429	Gm17271	predicted gene, 17271 [Source:MGI Symbol;Acc:MGI:4936905]	
ENSMUSG00000033697	Arhgap39	Rho GTPase activating protein 39 [Source:MGI Symbol;Acc:MGI:107858]	223666
ENSMUSG00000036606	Plxnb2	plexin B2 [Source:MGI Symbol;Acc:MGI:2154239]	140570
ENSMUSG00000099618	Gm28118	predicted gene 28118 [Source:MGI Symbol;Acc:MGI:5578824]	
ENSMUSG00000023010	Tmbim6	transmembrane BAX inhibitor motif containing 6 [Source:MGI Symbol;Acc:MGI:99682]	110213
ENSMUSG00000094140	Olfr1512	olfactory receptor 1512 [Source:MGI Symbol;Acc:MGI:3031346]	258424
ENSMUSG00000097218	Gm26552	predicted gene, 26552 [Source:MGI Symbol;Acc:MGI:5477046]	
ENSMUSG00000103324	Gm37402	predicted gene, 37402 [Source:MGI Symbol;Acc:MGI:5610630]	
ENSMUSG00000101380	Gm28769	predicted gene 28769 [Source:MGI Symbol;Acc:MGI:5579475]	
ENSMUSG00000083460	Gm12182	predicted gene 12182 [Source:MGI Symbol;Acc:MGI:3650366]	
ENSMUSG00000080795	Gm6783	predicted gene 6783 [Source:MGI Symbol;Acc:MGI:3644277]	
ENSMUSG00000092204	Vmn2r-ps49	vomeronasal 2, receptor, pseudogene 49 [Source:MGI Symbol;Acc:MGI:3757889]	
ENSMUSG00000095912	Gm3317	predicted gene 3317 [Source:MGI Symbol;Acc:MGI:3781495]	
ENSMUSG00000094696	Gm6632	predicted pseudogene 6632 [Source:MGI Symbol;Acc:MGI:3644251]	
ENSMUSG00000098561	Gtpbp4-ps5	GTP binding protein 4, pseudogene 5 [Source:MGI Symbol;Acc:MGI:5520997]	
ENSMUSG00000080803	Gm12683	predicted gene 12683 [Source:MGI Symbol;Acc:MGI:3650644]	
ENSMUSG00000023826	Park2	Parkinson disease (autosomal recessive, juvenile) 2, parkin [Source:MGI Symbol;Acc:MGI:1355296]	50873
ENSMUSG00000090900	Gm3326	predicted gene 3326 [Source:MGI Symbol;Acc:MGI:3781504]	
ENSMUSG00000086738	Gm12154	predicted gene 12154 [Source:MGI Symbol;Acc:MGI:3649295]	
ENSMUSG00000082454	Gm12183	predicted gene 12183 [Source:MGI Symbol;Acc:MGI:3652175]	
ENSMUSG00000096268	Gm20914	predicted gene, 20914 [Source:MGI Symbol;Acc:MGI:5434270]	
ENSMUSG00000095139	Pou3f2	POU domain, class 3, transcription factor 2 [Source:MGI Symbol;Acc:MGI:101895]	18992
ENSMUSG00000079380	Gm8271	predicted gene 8271 [Source:MGI Symbol;Acc:MGI:3648017]	666750
ENSMUSG00000079380	Gm8271	predicted gene 8271 [Source:MGI Symbol;Acc:MGI:3648017]	100504200
ENSMUSG00000102520	Gm36941	predicted gene, 36941 [Source:MGI Symbol;Acc:MGI:5610169]	
ENSMUSG00000106660	Gm43472	predicted gene 43472 [Source:MGI Symbol;Acc:MGI:5663609]	
ENSMUSG00000029282	Amtn	amelotin [Source:MGI Symbol;Acc:MGI:1918671]	71421
ENSMUSG00000092175	Gm3584	predicted gene 3584 [Source:MGI Symbol;Acc:MGI:3781761]	
ENSMUSG00000082790	Gm12155	predicted gene 12155 [Source:MGI Symbol;Acc:MGI:3649293]	
ENSMUSG00000081442	Gm14682	predicted gene 14682 [Source:MGI Symbol;Acc:MGI:3705428]	
ENSMUSG00000105397	Gm43471	predicted gene 43471 [Source:MGI Symbol;Acc:MGI:5663608]	
ENSMUSG00000083897	Gm14843	predicted gene 14843 [Source:MGI Symbol;Acc:MGI:3802062]	
ENSMUSG00000046589	Lrrc8e	leucine rich repeat containing 8 family, member E [Source:MGI Symbol;Acc:MGI:1919517]	72267
ENSMUSG00000081598	Gm8312	predicted gene 8312 [Source:MGI Symbol;Acc:MGI:3643550]	
ENSMUSG00000100634	Gm28171	predicted gene 28171 [Source:MGI Symbol;Acc:MGI:5578877]	
ENSMUSG00000106616	Obox4-ps25	oocyte specific homeobox 4, pseudogene 25 [Source:MGI Symbol;Acc:MGI:5645799]	
ENSMUSG00000108828	RP23-378L12.3		
ENSMUSG00000068888	Lce1i	late cornified envelope 1I [Source:MGI Symbol;Acc:MGI:1923835]	76585
ENSMUSG00000081674	Gm6184	predicted gene 6184 [Source:MGI Symbol;Acc:MGI:3648764]	
ENSMUSG00000106467	Gm43395	predicted gene 43395 [Source:MGI Symbol;Acc:MGI:5663532]	
ENSMUSG00000100056	Gm28173	predicted gene 28173 [Source:MGI Symbol;Acc:MGI:5578879]	
ENSMUSG00000109298	RP23-378L12.4		
ENSMUSG00000027761	Aadac	arylacetamide deacetylase (esterase) [Source:MGI Symbol;Acc:MGI:1915008]	67758
ENSMUSG00000103575	Gm37117	predicted gene, 37117 [Source:MGI Symbol;Acc:MGI:5610345]	
ENSMUSG00000103010	Gm37504	predicted gene, 37504 [Source:MGI Symbol;Acc:MGI:5610732]	
ENSMUSG00000108287	Gm44473	predicted gene, 44473 [Source:MGI Symbol;Acc:MGI:5690865]	
ENSMUSG00000102338	Gm37236	predicted gene, 37236 [Source:MGI Symbol;Acc:MGI:5610464]	
ENSMUSG00000087332	Gm12690	predicted gene 12690 [Source:MGI Symbol;Acc:MGI:3650444]	
ENSMUSG00000091292	Gm3104	predicted gene 3104 [Source:MGI Symbol;Acc:MGI:3781280]	
ENSMUSG00000101291	Gm29194	predicted gene 29194 [Source:MGI Symbol;Acc:MGI:5579900]	
ENSMUSG00000070902	Zfp352	zinc finger protein 352 [Source:MGI Symbol;Acc:MGI:2387418]	236537
ENSMUSG00000104466	Gm10513	predicted gene 10513 [Source:MGI Symbol;Acc:MGI:3641888]	
ENSMUSG00000107972	Gm18198	predicted gene, 18198 [Source:MGI Symbol;Acc:MGI:5010383]	
ENSMUSG00000099797	Gm3145	predicted gene 3145 [Source:MGI Symbol;Acc:MGI:3781324]	
ENSMUSG00000068887	Lce1j	late cornified envelope 1J [Source:MGI Symbol;Acc:MGI:3702532]	545547
ENSMUSG00000104527	Gm37332	predicted gene, 37332 [Source:MGI Symbol;Acc:MGI:5610560]	
ENSMUSG00000108259	Gm6727	predicted gene 6727 [Source:MGI Symbol;Acc:MGI:3643658]	
ENSMUSG00000096036	Gm21778	predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]	101056173
ENSMUSG00000096036	Gm21778	predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]	102631913
ENSMUSG00000096036	Gm21778	predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]	102631990
ENSMUSG00000096036	Gm21778	predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]	102634260
ENSMUSG00000096036	Gm21778	predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]	102634371
ENSMUSG00000096036	Gm21778	predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]	102637124
ENSMUSG00000096036	Gm21778	predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]	102640611
ENSMUSG00000096036	Gm21778	predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]	102640691
ENSMUSG00000096036	Gm21778	predicted gene, 21778 [Source:MGI Symbol;Acc:MGI:5433942]	102640878
ENSMUSG00000100402	Gm28505	predicted gene 28505 [Source:MGI Symbol;Acc:MGI:5579211]	
ENSMUSG00000044148	1810030O07Rik	RIKEN cDNA 1810030O07 gene [Source:MGI Symbol;Acc:MGI:1916405]	69155
ENSMUSG00000102726	Gm37937	predicted gene, 37937 [Source:MGI Symbol;Acc:MGI:5611165]	
ENSMUSG00000021345	Prl8a6	prolactin family 8, subfamily a, member 6 [Source:MGI Symbol;Acc:MGI:1332225]	19112
ENSMUSG00000022586	Ly6i	lymphocyte antigen 6 complex, locus I [Source:MGI Symbol;Acc:MGI:1888480]	57248
ENSMUSG00000102042	Gm29195	predicted gene 29195 [Source:MGI Symbol;Acc:MGI:5579901]	
ENSMUSG00000083834	Gm12577	predicted gene 12577 [Source:MGI Symbol;Acc:MGI:3651713]	
