Ensembl Gene ID	Associated Gene Name	Description	EntrezGene ID
ENSMUSG00000085289	Gm15337	predicted gene 15337 [Source:MGI Symbol;Acc:MGI:3705103]	
ENSMUSG00000105706	Gm42855	predicted gene 42855 [Source:MGI Symbol;Acc:MGI:5662992]	
ENSMUSG00000086312	Gm15336	predicted gene 15336 [Source:MGI Symbol;Acc:MGI:3705096]	
ENSMUSG00000096498	Ighv2-5	immunoglobulin heavy variable 2-5 [Source:MGI Symbol;Acc:MGI:4439517]	
ENSMUSG00000082287	Gm15333	predicted gene 15333 [Source:MGI Symbol;Acc:MGI:3705523]	
ENSMUSG00000018727	Cpsf4l	cleavage and polyadenylation specific factor 4-like [Source:MGI Symbol;Acc:MGI:1277182]	52670
ENSMUSG00000086518	Gm14503	predicted gene 14503 [Source:MGI Symbol;Acc:MGI:3705694]	
ENSMUSG00000078954	Arhgap8	Rho GTPase activating protein 8 [Source:MGI Symbol;Acc:MGI:1920417]	73167
ENSMUSG00000059447	Hadhb	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit [Source:MGI Symbol;Acc:MGI:2136381]	231086
ENSMUSG00000091273	Gm6673	predicted gene 6673 [Source:MGI Symbol;Acc:MGI:3645556]	
ENSMUSG00000033182	Kbtbd12	kelch repeat and BTB (POZ) domain containing 12 [Source:MGI Symbol;Acc:MGI:1918481]	74589
ENSMUSG00000054446	Cpa1	carboxypeptidase A1, pancreatic [Source:MGI Symbol;Acc:MGI:88478]	109697
ENSMUSG00000069920	B3gnt9	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 [Source:MGI Symbol;Acc:MGI:2142841]	97440
ENSMUSG00000083714	Fthl17-ps1	ferritin, heavy polypeptide-like 17, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3705856]	
ENSMUSG00000028004	Npy2r	neuropeptide Y receptor Y2 [Source:MGI Symbol;Acc:MGI:108418]	18167
ENSMUSG00000100658	F730311O21Rik	RIKEN cDNA F730311O21 gene [Source:MGI Symbol;Acc:MGI:3643355]	
ENSMUSG00000080904	Gm11966	predicted gene 11966 [Source:MGI Symbol;Acc:MGI:3649988]	
ENSMUSG00000036452	Arhgap26	Rho GTPase activating protein 26 [Source:MGI Symbol;Acc:MGI:1918552]	71302
ENSMUSG00000080050	Gm14864	predicted gene 14864 [Source:MGI Symbol;Acc:MGI:3705681]	
ENSMUSG00000080952	Gm5379	predicted gene 5379 [Source:MGI Symbol;Acc:MGI:3646912]	
ENSMUSG00000075570	Krt26	keratin 26 [Source:MGI Symbol;Acc:MGI:2444913]	320864
ENSMUSG00000060212	Pcnxl2	pecanex-like 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:2445010]	270109
ENSMUSG00000030587	2200002D01Rik	RIKEN cDNA 2200002D01 gene [Source:MGI Symbol;Acc:MGI:1919525]	72275
ENSMUSG00000081991	Gm13859	predicted gene 13859 [Source:MGI Symbol;Acc:MGI:3649465]	
ENSMUSG00000028076	Cd1d1	CD1d1 antigen [Source:MGI Symbol;Acc:MGI:107674]	12479
ENSMUSG00000081196	Gm13858	predicted gene 13858 [Source:MGI Symbol;Acc:MGI:3649681]	
ENSMUSG00000091827	Speer4f2	spermatogenesis associated glutamate (E)-rich protein 4f2 [Source:MGI Symbol;Acc:MGI:3781672]	
ENSMUSG00000102514	Gm35323	predicted gene, 35323 [Source:MGI Symbol;Acc:MGI:5594482]	
ENSMUSG00000031913	Vps4a	vacuolar protein sorting 4a (yeast) [Source:MGI Symbol;Acc:MGI:1890520]	116733
ENSMUSG00000026288	Inpp5d	inositol polyphosphate-5-phosphatase D [Source:MGI Symbol;Acc:MGI:107357]	16331
ENSMUSG00000102764	Gm37183	predicted gene, 37183 [Source:MGI Symbol;Acc:MGI:5610411]	
ENSMUSG00000002814	Top3a	topoisomerase (DNA) III alpha [Source:MGI Symbol;Acc:MGI:1197527]	21975
ENSMUSG00000085919	Gm16019	predicted gene 16019 [Source:MGI Symbol;Acc:MGI:3801872]	
ENSMUSG00000023906	Cldn6	claudin 6 [Source:MGI Symbol;Acc:MGI:1859284]	54419
ENSMUSG00000030588	Yif1b	Yip1 interacting factor homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924504]	77254
ENSMUSG00000098837	Gm20111	predicted gene, 20111 [Source:MGI Symbol;Acc:MGI:5012296]	
ENSMUSG00000040321	Zfp770	zinc finger protein 770 [Source:MGI Symbol;Acc:MGI:2445100]	228491
ENSMUSG00000085271	E130006D01Rik	RIKEN cDNA E130006D01 gene [Source:MGI Symbol;Acc:MGI:2685527]	
ENSMUSG00000036403	Cep135	centrosomal protein 135 [Source:MGI Symbol;Acc:MGI:2681869]	381644
ENSMUSG00000103185	Ighv5-11	immunoglobulin heavy variable V5-11 [Source:MGI Symbol;Acc:MGI:5009891]	
ENSMUSG00000021972	Hmbox1	homeobox containing 1 [Source:MGI Symbol;Acc:MGI:2445066]	219150
ENSMUSG00000083141	Gm15752	predicted gene 15752 [Source:MGI Symbol;Acc:MGI:3783194]	
ENSMUSG00000053519	Kcnip1	Kv channel-interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917607]	70357
ENSMUSG00000072249	Fthl17f	ferritin, heavy polypeptide-like 17, member F [Source:MGI Symbol;Acc:MGI:3642941]	434729
ENSMUSG00000033282	Rpgrip1l	Rpgrip1-like [Source:MGI Symbol;Acc:MGI:1920563]	244585
ENSMUSG00000066720	Cldn9	claudin 9 [Source:MGI Symbol;Acc:MGI:1913100]	56863
ENSMUSG00000109302	RP24-120F8.5		
ENSMUSG00000027739	Rab33b	RAB33B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1330805]	19338
ENSMUSG00000086018	Gm13179	predicted gene 13179 [Source:MGI Symbol;Acc:MGI:3701958]	
ENSMUSG00000005621	Zfp592	zinc finger protein 592 [Source:MGI Symbol;Acc:MGI:2443541]	233410
ENSMUSG00000029635	Cdk8	cyclin-dependent kinase 8 [Source:MGI Symbol;Acc:MGI:1196224]	264064
ENSMUSG00000023755	Rhebl1	Ras homolog enriched in brain like 1 [Source:MGI Symbol;Acc:MGI:1916409]	69159
ENSMUSG00000078931	Pdf	peptide deformylase (mitochondrial) [Source:MGI Symbol;Acc:MGI:1915273]	68023
ENSMUSG00000094697	Gm10476	predicted gene 10476 [Source:MGI Symbol;Acc:MGI:3779114]	
ENSMUSG00000008789	Ceacam5	carcinoembryonic antigen-related cell adhesion molecule 5 [Source:MGI Symbol;Acc:MGI:1920500]	73250
ENSMUSG00000044633	B530045E10Rik	RIKEN cDNA B530045E10 gene [Source:MGI Symbol;Acc:MGI:2445145]	
ENSMUSG00000102136	Gm37107	predicted gene, 37107 [Source:MGI Symbol;Acc:MGI:5610335]	
ENSMUSG00000085622	3110056K07Rik	RIKEN cDNA 3110056K07 gene [Source:MGI Symbol;Acc:MGI:1920454]	
ENSMUSG00000084859	1700080N15Rik	RIKEN cDNA 1700080N15 gene [Source:MGI Symbol;Acc:MGI:1920739]	
ENSMUSG00000020844	Nxn	nucleoredoxin [Source:MGI Symbol;Acc:MGI:109331]	18230
ENSMUSG00000102775	Gm38160	predicted gene, 38160 [Source:MGI Symbol;Acc:MGI:5611388]	
ENSMUSG00000083734	Gm16209	predicted gene 16209 [Source:MGI Symbol;Acc:MGI:3802095]	
ENSMUSG00000043800	Kifc5c-ps	kinesin family member C5C, pseudogene [Source:MGI Symbol;Acc:MGI:2137415]	
ENSMUSG00000102570	Gm37968	predicted gene, 37968 [Source:MGI Symbol;Acc:MGI:5611196]	
ENSMUSG00000028246	Faxc	failed axon connections homolog [Source:MGI Symbol;Acc:MGI:1923382]	76132
ENSMUSG00000094712	Gm15099	predicted gene 15099 [Source:MGI Symbol;Acc:MGI:3705260]	
ENSMUSG00000079387	Luzp4	leucine zipper protein 4 [Source:MGI Symbol;Acc:MGI:3708816]	434865
ENSMUSG00000095261	Gm17391	predicted gene, 17391 [Source:MGI Symbol;Acc:MGI:4937025]	
ENSMUSG00000055446	A630091E08Rik	RIKEN cDNA A630091E08 gene [Source:MGI Symbol;Acc:MGI:2442837]	
ENSMUSG00000054106	Try4	trypsin 4 [Source:MGI Symbol;Acc:MGI:102757]	22074
ENSMUSG00000083402	Gm14394	predicted gene 14394 [Source:MGI Symbol;Acc:MGI:3649575]	
ENSMUSG00000040121	Rep15	RAB15 effector protein [Source:MGI Symbol;Acc:MGI:1913782]	66532
ENSMUSG00000029161	Cgref1	cell growth regulator with EF hand domain 1 [Source:MGI Symbol;Acc:MGI:1915817]	68567
ENSMUSG00000033032	Afap1l1	actin filament associated protein 1-like 1 [Source:MGI Symbol;Acc:MGI:2147199]	106877
ENSMUSG00000104000	Gm38335	predicted gene, 38335 [Source:MGI Symbol;Acc:MGI:5611563]	
ENSMUSG00000095696	Olfr786	olfactory receptor 786 [Source:MGI Symbol;Acc:MGI:3030620]	258542
ENSMUSG00000085240	Gm12119	predicted gene 12119 [Source:MGI Symbol;Acc:MGI:3652283]	
ENSMUSG00000060057	Olfr193	olfactory receptor 193 [Source:MGI Symbol;Acc:MGI:3030027]	257972
ENSMUSG00000020155	Kcnmb1	potassium large conductance calcium-activated channel, subfamily M, beta member 1 [Source:MGI Symbol;Acc:MGI:1334203]	16533
ENSMUSG00000083934	Gm12368	predicted gene 12368 [Source:MGI Symbol;Acc:MGI:3649555]	
ENSMUSG00000083851	Gm12365	predicted gene 12365 [Source:MGI Symbol;Acc:MGI:3649559]	
ENSMUSG00000087416	Gm15906	predicted gene 15906 [Source:MGI Symbol;Acc:MGI:3801906]	
ENSMUSG00000049230	Gm9833	predicted gene 9833 [Source:MGI Symbol;Acc:MGI:3641855]	
ENSMUSG00000032528	Vipr1	vasoactive intestinal peptide receptor 1 [Source:MGI Symbol;Acc:MGI:109272]	22354
ENSMUSG00000050957	Insl6	insulin-like 6 [Source:MGI Symbol;Acc:MGI:1351595]	27356
ENSMUSG00000063020	Olfr194	olfactory receptor 194 [Source:MGI Symbol;Acc:MGI:3030028]	433031
ENSMUSG00000103045	Gm37308	predicted gene, 37308 [Source:MGI Symbol;Acc:MGI:5610536]	
ENSMUSG00000002699	Lcp2	lymphocyte cytosolic protein 2 [Source:MGI Symbol;Acc:MGI:1321402]	16822
ENSMUSG00000003660	Snrnp200	small nuclear ribonucleoprotein 200 (U5) [Source:MGI Symbol;Acc:MGI:2444401]	320632
ENSMUSG00000090750	Gm21999	predicted gene 21999 [Source:MGI Symbol;Acc:MGI:5440234]	
ENSMUSG00000085950	Gm13589	predicted gene 13589 [Source:MGI Symbol;Acc:MGI:3649991]	
ENSMUSG00000108593	RP23-292B24.1		
ENSMUSG00000081959	Gm16480	predicted gene 16480 [Source:MGI Symbol;Acc:MGI:3648372]	
ENSMUSG00000036873	2410004B18Rik	RIKEN cDNA 2410004B18 gene [Source:MGI Symbol;Acc:MGI:1913671]	66421
ENSMUSG00000108765	RP23-146B24.2		
ENSMUSG00000101249	Gm29216	predicted gene 29216 [Source:MGI Symbol;Acc:MGI:5579922]	
ENSMUSG00000101466	Gm29548	predicted gene 29548 [Source:MGI Symbol;Acc:MGI:5580254]	
ENSMUSG00000084924	Vmn1r-ps103	vomeronasal 1 receptor, pseudogene 103 [Source:MGI Symbol;Acc:MGI:2159658]	
ENSMUSG00000105671	Gm31306	predicted gene, 31306 [Source:MGI Symbol;Acc:MGI:5590465]	
ENSMUSG00000097388	Gm3200	predicted pseudogene 3200 [Source:MGI Symbol;Acc:MGI:3781379]	
ENSMUSG00000078577	Tmco2	transmembrane and coiled-coil domains 2 [Source:MGI Symbol;Acc:MGI:1916719]	69469
ENSMUSG00000066958	Gm16391	predicted pseudogene 16391 [Source:MGI Symbol;Acc:MGI:3645390]	
ENSMUSG00000038891	Prl3b1	prolactin family 3, subfamily b, member 1 [Source:MGI Symbol;Acc:MGI:97607]	18776
ENSMUSG00000084124	Gm13588	predicted gene 13588 [Source:MGI Symbol;Acc:MGI:3650686]	
ENSMUSG00000092579	Vmn1r62	vomeronasal 1 receptor 62 [Source:MGI Symbol;Acc:MGI:3033471]	81016
ENSMUSG00000070686	C87414	expressed sequence C87414 [Source:MGI Symbol;Acc:MGI:2141341]	381654
ENSMUSG00000081423	Gm12882	predicted gene 12882 [Source:MGI Symbol;Acc:MGI:3651897]	
ENSMUSG00000015942	Gtf2ird2	GTF2I repeat domain containing 2 [Source:MGI Symbol;Acc:MGI:2149780]	114674
ENSMUSG00000029461	Fam168a	family with sequence similarity 168, member A [Source:MGI Symbol;Acc:MGI:2442372]	319604
ENSMUSG00000004591	Pkn2	protein kinase N2 [Source:MGI Symbol;Acc:MGI:109211]	109333
ENSMUSG00000101614	Gm29547	predicted gene 29547 [Source:MGI Symbol;Acc:MGI:5580253]	
ENSMUSG00000041684	Bivm	basic, immunoglobulin-like variable motif containing [Source:MGI Symbol;Acc:MGI:2179809]	246229
ENSMUSG00000085845	Gm13944	predicted gene 13944 [Source:MGI Symbol;Acc:MGI:3650359]	
ENSMUSG00000081283	Vmn1r-ps104	vomeronasal 1 receptor, pseudogene 104 [Source:MGI Symbol;Acc:MGI:4439058]	
ENSMUSG00000082891	Gm12881	predicted gene 12881 [Source:MGI Symbol;Acc:MGI:3651892]	
ENSMUSG00000068745	Mybphl	myosin binding protein H-like [Source:MGI Symbol;Acc:MGI:1916003]	68753
ENSMUSG00000081305	Gm12879	predicted gene 12879 [Source:MGI Symbol;Acc:MGI:3649632]	
ENSMUSG00000109540	RP23-371K18.2		
ENSMUSG00000107883	Gm44062	predicted gene, 44062 [Source:MGI Symbol;Acc:MGI:5690454]	
ENSMUSG00000061758	Akr1b10	aldo-keto reductase family 1, member B10 (aldose reductase) [Source:MGI Symbol;Acc:MGI:1915111]	67861
ENSMUSG00000027016	Zfp385b	zinc finger protein 385B [Source:MGI Symbol;Acc:MGI:2444734]	241494
ENSMUSG00000027528	Fabp9	fatty acid binding protein 9, testis [Source:MGI Symbol;Acc:MGI:1194881]	21884
ENSMUSG00000079020	Slc45a4	solute carrier family 45, member 4 [Source:MGI Symbol;Acc:MGI:2146236]	106068
ENSMUSG00000089818	Gm15950	predicted gene 15950 [Source:MGI Symbol;Acc:MGI:3802178]	
ENSMUSG00000038880	Mrps34	mitochondrial ribosomal protein S34 [Source:MGI Symbol;Acc:MGI:1930188]	79044
ENSMUSG00000040112	Mrps35	mitochondrial ribosomal protein S35 [Source:MGI Symbol;Acc:MGI:2385255]	232536
ENSMUSG00000022679	Mpv17l	Mpv17 transgene, kidney disease mutant-like [Source:MGI Symbol;Acc:MGI:2135951]	93734
ENSMUSG00000024006	Stk38	serine/threonine kinase 38 [Source:MGI Symbol;Acc:MGI:2442572]	106504
ENSMUSG00000026927	Sdccag3	serologically defined colon cancer antigen 3 [Source:MGI Symbol;Acc:MGI:1915362]	68112
ENSMUSG00000005575	Ube2m	ubiquitin-conjugating enzyme E2M [Source:MGI Symbol;Acc:MGI:108278]	22192
ENSMUSG00000074281	Gm12522	predicted gene 12522 [Source:MGI Symbol;Acc:MGI:3651334]	
ENSMUSG00000098702	1500015A07Rik	RIKEN cDNA 1500015A07 gene [Source:MGI Symbol;Acc:MGI:1916232]	
ENSMUSG00000073436	Eme2	essential meiotic structure-specific endonuclease subunit 2 [Source:MGI Symbol;Acc:MGI:1919889]	193838
ENSMUSG00000103124	Gm37389	predicted gene, 37389 [Source:MGI Symbol;Acc:MGI:5610617]	
ENSMUSG00000034762	Glis1	GLIS family zinc finger 1 [Source:MGI Symbol;Acc:MGI:2386723]	230587
ENSMUSG00000052468	Pmp2	peripheral myelin protein 2 [Source:MGI Symbol;Acc:MGI:102667]	18857
ENSMUSG00000100812	A730098A19Rik	RIKEN cDNA A730098A19 gene [Source:MGI Symbol;Acc:MGI:2444037]	
ENSMUSG00000075307	Klhl41	kelch-like 41 [Source:MGI Symbol;Acc:MGI:2683854]	228003
ENSMUSG00000086014	Gm16095	predicted gene 16095 [Source:MGI Symbol;Acc:MGI:3801984]	
ENSMUSG00000087328	Gm12120	predicted gene 12120 [Source:MGI Symbol;Acc:MGI:3651991]	
ENSMUSG00000095429	Ighv5-12	immunoglobulin heavy variable 5-12 [Source:MGI Symbol;Acc:MGI:4439516]	
ENSMUSG00000087135	Gm16096	predicted gene 16096 [Source:MGI Symbol;Acc:MGI:3801985]	
ENSMUSG00000085684	4930469K13Rik	RIKEN cDNA 4930469K13 gene [Source:MGI Symbol;Acc:MGI:1924124]	
ENSMUSG00000055491	Pprc1	peroxisome proliferative activated receptor, gamma, coactivator-related 1 [Source:MGI Symbol;Acc:MGI:2385096]	226169
ENSMUSG00000026032	Ndufb3	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3 [Source:MGI Symbol;Acc:MGI:1913745]	66495
ENSMUSG00000032024	Clmp	CXADR-like membrane protein [Source:MGI Symbol;Acc:MGI:1918816]	71566
ENSMUSG00000050029	Rap2c	RAP2C, member of RAS oncogene family [Source:MGI Symbol;Acc:MGI:1919315]	72065
ENSMUSG00000036585	Fgf1	fibroblast growth factor 1 [Source:MGI Symbol;Acc:MGI:95515]	14164
ENSMUSG00000017588	Krt27	keratin 27 [Source:MGI Symbol;Acc:MGI:1339999]	16675
ENSMUSG00000020037	Rfx4	regulatory factor X, 4 (influences HLA class II expression) [Source:MGI Symbol;Acc:MGI:1918387]	71137
ENSMUSG00000037533	Rapgef6	Rap guanine nucleotide exchange factor (GEF) 6 [Source:MGI Symbol;Acc:MGI:2384761]	192786
ENSMUSG00000070934	Rraga	Ras-related GTP binding A [Source:MGI Symbol;Acc:MGI:1915691]	68441
ENSMUSG00000087326	Gm12503	predicted gene 12503 [Source:MGI Symbol;Acc:MGI:3651570]	
ENSMUSG00000020798	Spns3	spinster homolog 3 [Source:MGI Symbol;Acc:MGI:1924827]	77577
ENSMUSG00000043670	Diras1	DIRAS family, GTP-binding RAS-like 1 [Source:MGI Symbol;Acc:MGI:2183442]	208666
ENSMUSG00000101514	Gm5524	predicted gene 5524 [Source:MGI Symbol;Acc:MGI:3646041]	
ENSMUSG00000079625	Tm4sf19	transmembrane 4 L six family member 19 [Source:MGI Symbol;Acc:MGI:3645933]	277203
ENSMUSG00000061536	Sec22c	SEC22 homolog C, vesicle trafficking protein [Source:MGI Symbol;Acc:MGI:2447871]	215474
ENSMUSG00000086493	Gm12204	predicted gene 12204 [Source:MGI Symbol;Acc:MGI:3650262]	
ENSMUSG00000101033	Gm18776	predicted gene, 18776 [Source:MGI Symbol;Acc:MGI:5010961]	
ENSMUSG00000073435	Nme3	NME/NM23 nucleoside diphosphate kinase 3 [Source:MGI Symbol;Acc:MGI:1930182]	79059
ENSMUSG00000083123	Fthl17-ps2	ferritin, heavy polypeptide-like 17, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3648159]	
ENSMUSG00000080957	Gm15739	predicted gene 15739 [Source:MGI Symbol;Acc:MGI:3783181]	
ENSMUSG00000099988	1700054A03Rik	RIKEN cDNA 1700054A03 gene [Source:MGI Symbol;Acc:MGI:1925707]	
ENSMUSG00000087114	Gm16099	predicted gene 16099 [Source:MGI Symbol;Acc:MGI:3802061]	
ENSMUSG00000084274	Gm12504	predicted pseudogene 12504 [Source:MGI Symbol;Acc:MGI:3651567]	
ENSMUSG00000058643	Speer4f1	spermatogenesis associated glutamate (E)-rich protein 4F1 [Source:MGI Symbol;Acc:MGI:1918185]	70935
ENSMUSG00000087397	Rapgef3os2	Rap guanine nucleotide exchange factor (GEF) 3, opposite strand 2 [Source:MGI Symbol;Acc:MGI:3826581]	
ENSMUSG00000034765	Dusp5	dual specificity phosphatase 5 [Source:MGI Symbol;Acc:MGI:2685183]	240672
ENSMUSG00000082556	Gm5387	predicted gene 5387 [Source:MGI Symbol;Acc:MGI:3647396]	
ENSMUSG00000096670	Ighv2-6	immunoglobulin heavy variable 2-6 [Source:MGI Symbol;Acc:MGI:4439518]	
ENSMUSG00000100064	Gm28339	predicted gene 28339 [Source:MGI Symbol;Acc:MGI:5579045]	
ENSMUSG00000021866	Anxa11	annexin A11 [Source:MGI Symbol;Acc:MGI:108481]	11744
ENSMUSG00000028857	Tmem222	transmembrane protein 222 [Source:MGI Symbol;Acc:MGI:1098568]	52174
ENSMUSG00000045693	Nlrp4e	NLR family, pyrin domain containing 4E [Source:MGI Symbol;Acc:MGI:3056600]	446099
ENSMUSG00000015950	Ncf1	neutrophil cytosolic factor 1 [Source:MGI Symbol;Acc:MGI:97283]	17969
ENSMUSG00000072774	Zfp951	zinc finger protein 951 [Source:MGI Symbol;Acc:MGI:2441896]	626391
ENSMUSG00000028730	Cfap57	cilia and flagella associated protein 57 [Source:MGI Symbol;Acc:MGI:2686209]	68625
ENSMUSG00000081773	Gm8302	predicted gene 8302 [Source:MGI Symbol;Acc:MGI:3643802]	
ENSMUSG00000098557	Kctd12	potassium channel tetramerisation domain containing 12 [Source:MGI Symbol;Acc:MGI:2145823]	239217
ENSMUSG00000031156	Slc35a2	solute carrier family 35 (UDP-galactose transporter), member A2 [Source:MGI Symbol;Acc:MGI:1345297]	22232
ENSMUSG00000103240	Gm37976	predicted gene, 37976 [Source:MGI Symbol;Acc:MGI:5611204]	
ENSMUSG00000054822	1700041G16Rik	RIKEN cDNA 1700041G16 gene [Source:MGI Symbol;Acc:MGI:1920549]	
ENSMUSG00000085929	Gm13421	predicted gene 13421 [Source:MGI Symbol;Acc:MGI:3649922]	
ENSMUSG00000100307	Gm29546	predicted gene 29546 [Source:MGI Symbol;Acc:MGI:5580252]	
ENSMUSG00000100486	Gm4131	predicted gene 4131 [Source:MGI Symbol;Acc:MGI:3782307]	
ENSMUSG00000103860	Gm37418	predicted gene, 37418 [Source:MGI Symbol;Acc:MGI:5610646]	
ENSMUSG00000103797	Gm18964	predicted gene, 18964 [Source:MGI Symbol;Acc:MGI:5011149]	
ENSMUSG00000022469	Rapgef3	Rap guanine nucleotide exchange factor (GEF) 3 [Source:MGI Symbol;Acc:MGI:2441741]	223864
ENSMUSG00000035184	Fam124a	family with sequence similarity 124, member A [Source:MGI Symbol;Acc:MGI:3645930]	629059
ENSMUSG00000090655	Vmn2r120	vomeronasal 2, receptor 120 [Source:MGI Symbol;Acc:MGI:3644483]	224916
ENSMUSG00000095210	Ighv5-9-1	immunoglobulin heavy variable 5-9-1 [Source:MGI Symbol;Acc:MGI:4439810]	
ENSMUSG00000042184	1700069L16Rik	RIKEN cDNA 1700069L16 gene [Source:MGI Symbol;Acc:MGI:1920726]	
ENSMUSG00000020474	Polm	polymerase (DNA directed), mu [Source:MGI Symbol;Acc:MGI:1860191]	54125
ENSMUSG00000022126	Irg1	immunoresponsive gene 1 [Source:MGI Symbol;Acc:MGI:103206]	16365
ENSMUSG00000109325	Krt8-ps	keratin 8, pseudogene [Source:MGI Symbol;Acc:MGI:3779503]	
ENSMUSG00000106223	Gm43733	predicted gene 43733 [Source:MGI Symbol;Acc:MGI:5663870]	
ENSMUSG00000072662	Mansc4	MANSC domain containing 4 [Source:MGI Symbol;Acc:MGI:3645619]	545893
ENSMUSG00000095793	Gm20855	predicted gene, 20855 [Source:MGI Symbol;Acc:MGI:5434211]	102635480
ENSMUSG00000070837	Aurkc	aurora kinase C [Source:MGI Symbol;Acc:MGI:1321119]	20871
ENSMUSG00000070837	Aurkc	aurora kinase C [Source:MGI Symbol;Acc:MGI:1321119]	637541
ENSMUSG00000063830	Gm6065	predicted gene 6065 [Source:MGI Symbol;Acc:MGI:3645391]	
ENSMUSG00000039097	Rln1	relaxin 1 [Source:MGI Symbol;Acc:MGI:97931]	19773
ENSMUSG00000025040	Fundc1	FUN14 domain containing 1 [Source:MGI Symbol;Acc:MGI:1919268]	72018
ENSMUSG00000055937	Krt28	keratin 28 [Source:MGI Symbol;Acc:MGI:1918093]	70843
ENSMUSG00000061702	Tmem91	transmembrane protein 91 [Source:MGI Symbol;Acc:MGI:2443589]	320208
ENSMUSG00000041598	Cdc42ep4	CDC42 effector protein (Rho GTPase binding) 4 [Source:MGI Symbol;Acc:MGI:1929760]	56699
ENSMUSG00000084009	Rhox7-ps1	reproductive homeobox 7, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3643148]	
ENSMUSG00000090489	Gm17415	predicted gene, 17415 [Source:MGI Symbol;Acc:MGI:4937049]	
ENSMUSG00000026068	Il18rap	interleukin 18 receptor accessory protein [Source:MGI Symbol;Acc:MGI:1338888]	16174
ENSMUSG00000086485	Gm15458	predicted gene 15458 [Source:MGI Symbol;Acc:MGI:3705291]	
ENSMUSG00000061815	Rufy4	RUN and FYVE domain containing 4 [Source:MGI Symbol;Acc:MGI:3588214]	435626
ENSMUSG00000027340	Slc23a2	solute carrier family 23 (nucleobase transporters), member 2 [Source:MGI Symbol;Acc:MGI:1859682]	54338
ENSMUSG00000036938	Try5	trypsin 5 [Source:MGI Symbol;Acc:MGI:102756]	103964
ENSMUSG00000044164	Rnf182	ring finger protein 182 [Source:MGI Symbol;Acc:MGI:3045355]	328234
ENSMUSG00000040102	Klhl42	kelch-like 42 [Source:MGI Symbol;Acc:MGI:2444786]	232539
ENSMUSG00000038763	Alpk3	alpha-kinase 3 [Source:MGI Symbol;Acc:MGI:2151224]	116904
ENSMUSG00000026276	Sept2	septin 2 [Source:MGI Symbol;Acc:MGI:97298]	18000
ENSMUSG00000085345	Gm16064	predicted gene 16064 [Source:MGI Symbol;Acc:MGI:3801956]	
ENSMUSG00000103446	Gm38203	predicted gene, 38203 [Source:MGI Symbol;Acc:MGI:5611431]	
ENSMUSG00000108685	RP24-138O17.1		
ENSMUSG00000038526	Car14	carbonic anhydrase 14 [Source:MGI Symbol;Acc:MGI:1344341]	23831
ENSMUSG00000083090	Gm11736	predicted gene 11736 [Source:MGI Symbol;Acc:MGI:3650061]	
ENSMUSG00000098609	Anxa11os	annexin A11, opposite strand [Source:MGI Symbol;Acc:MGI:3642737]	
ENSMUSG00000085708	Gm16063	predicted gene 16063 [Source:MGI Symbol;Acc:MGI:3801955]	
ENSMUSG00000102937	Gm38116	predicted gene, 38116 [Source:MGI Symbol;Acc:MGI:5611344]	
ENSMUSG00000061286	Exosc5	exosome component 5 [Source:MGI Symbol;Acc:MGI:107889]	27998
ENSMUSG00000056692	D17Wsu92e	DNA segment, Chr 17, Wayne State University 92, expressed [Source:MGI Symbol;Acc:MGI:106281]	224647
ENSMUSG00000103033	Ighv5-12-4	immunoglobulin heavy variable 5-12-4 [Source:MGI Symbol;Acc:MGI:3645977]	
ENSMUSG00000104149	Gm37138	predicted gene, 37138 [Source:MGI Symbol;Acc:MGI:5610366]	
ENSMUSG00000106991	Gm43399	predicted gene 43399 [Source:MGI Symbol;Acc:MGI:5663536]	
ENSMUSG00000080760	Gm7571	predicted gene 7571 [Source:MGI Symbol;Acc:MGI:3649152]	
ENSMUSG00000028521	Slc35d1	solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1 [Source:MGI Symbol;Acc:MGI:2140361]	242585
ENSMUSG00000045797	4930402K13Rik	RIKEN cDNA 4930402K13 gene [Source:MGI Symbol;Acc:MGI:1923025]	75775
ENSMUSG00000092083	Kcnb2	potassium voltage gated channel, Shab-related subfamily, member 2 [Source:MGI Symbol;Acc:MGI:99632]	98741
ENSMUSG00000087516	Tbx3os1	T-box 3, opposite strand 1 [Source:MGI Symbol;Acc:MGI:3780472]	
ENSMUSG00000023185	Ceacam14	carcinoembryonic antigen-related cell adhesion molecule 14 [Source:MGI Symbol;Acc:MGI:1914334]	67084
ENSMUSG00000085600	E330012B07Rik	RIKEN cDNA E330012B07 gene [Source:MGI Symbol;Acc:MGI:3028086]	
