ABF1	ACE2	ADR1	ARG80	ARG81	ARO80	ASH1	AZF1	BAS1	CAD1	CBF1	CHA4	CIN5	CRZ1	CUP9	DAL81	DAL82	DIG1	DOT6	ECM22	FHL1	FKH1	FKH2	FZF1	GAL4	GAT1	GAT3	GCN4	GCR1	GCR2	GLN3	GRF10.Pho2.	GTS1	HAA1	HAL9	HAP2	HAP3	HAP4	HAP5	HIR1	HIR2	HMS1	HSF1	IME4	INO2	INO4	IXR1	LEU3	MAC1	MAL13	MAL33	MATa1	MBP1	MCM1	MET31	MET4	MIG1	MOT3	MSN1	MSN2	MSN4	MSS11	MTH1	NDD1	NRG1	PDR1	PHD1	PHO4	PUT3	RAP1	RCS1	REB1	RFX1	RGM1	RGT1	RIM101	RLM1	RME1	ROX1	RPH1	RTG1	RTG3	RTS2	SFL1	SFP1	SIG1	SIP4	SKN7	SKO1	SMP1	SOK2	SRD1	STB1	STE12	STP1	STP2	SUM1	SWI4	SWI5	SWI6	THI2	UGA3	USV1	YAP1	YAP3	YAP5	YAP6	YAP7	YBR267W	YFL044C	YJL206C	ZAP1	ZMS1
YER088C	0.55	0.013	0.58	0.84	0.67	0.86	0.23	1	0.74	0.99	0.2	0.79	0.56	0.82	0.64	0.38	0.18	0.65	0.95	0.059	0.21	0.57	0.52	0.95	0.74	0.035	0.48	0.91	0.82	0.78	0.98	0.063	0.88	0.91	0.25	0.28	0.98	0.95	0.66	0.74	0.68	0.52	0.016	0.86	0.12	0.033	0.73	0.75	0.38	0.062	0.12	0.64	0.035	0.83	0.37	0.19	0.78	0.9	0.28	0.33	0.5	0.89	0.041	0.41	0.68	0.91	0.1	0.25	0.057	0.0013	0.97	0.94	0.89	0.086	0.83	0.96	0.99	0.52	0.38	0.97	0.17	0.85	0.81	0.9	0.32	0.91	0.33	0.0039	0.9	0.43	0.66	0.92	0.53	0.48	0.94	0.81	0.95	0.12	0.048	0.41	0.94	0.88	0.55	0.44	0.23	0.74	0.54	0.51	0.98	0.84	0.59	0.93	0.78
YER089C	0.0054	0.17	0.83	0.84	0.44	0.94	0.69	0.79	0.32	0.42	0.87	0.39	0.31	0.69	0.79	0.72	0.87	0.19	0.41	0.29	0.79	0.57	0.37	0.48	0.63	0.42	0.16	0.00022	0.69	0.64	0.22	0.52	0.12	0.95	0.88	0.94	0.23	0.54	0.58	0.42	0.86	0.68	0.49	0.62	0.21	0.5	0.75	0.63	0.096	0.7	0.13	0.46	0.11	0.11	0.35	0.43	0.96	0.44	0.58	0.014	0.29	0.85	0.91	0.54	0.96	0.51	0.48	0.56	0.45	0.47	0.46	0.51	0.14	0.11	0.96	0.19	0.67	0.77	0.31	0.65	0.23	0.1	0.61	0.52	0.7	0.72	0.95	0.51	0.86	0.44	0.92	0.41	0.92	0.03	0.7	0.73	0.74	0.46	0.12	0.61	0.45	0.69	0.17	0.032	0.32	0.73	0.53	0.71	0.93	0.32	0.36	0.79	0.35
YER090W	0.0054	0.17	0.83	0.84	0.44	0.94	0.69	0.79	0.32	0.42	0.87	0.39	0.31	0.69	0.79	0.72	0.87	0.19	0.41	0.29	0.79	0.57	0.37	0.48	0.63	0.42	0.16	0.00022	0.69	0.64	0.22	0.52	0.12	0.95	0.88	0.94	0.23	0.54	0.58	0.42	0.86	0.68	0.49	0.62	0.21	0.5	0.75	0.63	0.096	0.7	0.13	0.46	0.11	0.11	0.35	0.43	0.96	0.44	0.58	0.014	0.29	0.85	0.91	0.54	0.96	0.51	0.48	0.56	0.45	0.47	0.46	0.51	0.14	0.11	0.96	0.19	0.67	0.77	0.31	0.65	0.23	0.1	0.61	0.52	0.7	0.72	0.95	0.51	0.86	0.44	0.92	0.41	0.92	0.03	0.7	0.73	0.74	0.46	0.12	0.61	0.45	0.69	0.17	0.032	0.32	0.73	0.53	0.71	0.93	0.32	0.36	0.79	0.35
YER091C	0.34	0.41	0.52	0.29	0.23	0.9	0.32	0.83	3e-05	0.17	0.035	0.72	0.51	0.55	0.42	0.34	0.86	0.37	0.89	0.63	0.38	0.82	0.51	0.68	0.99	0.86	0.62	0.048	0.45	0.89	0.73	0.094	0.85	0.73	0.53	0.53	0.69	0.91	0.67	0.87	0.14	0.35	0.42	0.5	0.043	0.0039	0.32	0.25	0.28	0.79	0.95	0.24	0.76	0.67	0.2	0.019	0.78	0.54	0.22	0.23	0.7	0.66	0.78	0.69	0.86	0.93	0.78	0.41	0.3	0.39	0.63	0.75	0.38	0.51	0.81	0.78	0.83	0.4	0.66	0.1	0.6	0.72	0.79	0.41	0.99	0.77	0.14	0.48	0.65	0.38	1	0.49	0.82	0.72	0.46	0.037	0.41	0.49	0.52	0.52	0.94	0.99	0.57	0.31	0.78	0.87	0.15	0.7	0.52	0.075	0.84	0.74	0.83
YER091C-A	0.44	0.76	0.91	0.9	0.93	0.92	0.024	0.91	1.9e-11	1	9e-04	0.97	0.63	0.95	0.76	0.65	0.17	0.9	0.98	0.17	0.8	0.86	0.61	0.57	0.93	0.56	0.31	0.32	0.87	0.89	0.98	0.078	0.62	0.99	0.75	0.84	0.91	0.99	0.92	0.86	0.72	0.4	0.022	0.99	0.031	0.0086	0.89	0.63	0.82	0.071	0.27	0.37	0.063	0.83	1.6e-08	0.00019	0.82	0.98	0.43	0.51	0.38	0.86	0.4	0.87	0.35	0.9	0.41	0.23	0.41	0.24	0.79	0.32	0.97	0.11	0.92	0.74	0.98	0.33	0.45	0.49	0.66	0.86	0.98	0.87	0.68	0.88	0.27	0.049	0.84	0.59	0.8	0.9	0.36	0.88	0.86	0.73	0.83	0.041	0.64	0.61	0.96	0.13	0.73	0.91	0.34	0.97	0.36	0.41	0.88	0.92	0.68	0.85	0.43
YER092W	0.44	0.76	0.91	0.9	0.93	0.92	0.024	0.91	1.9e-11	1	9e-04	0.97	0.63	0.95	0.76	0.65	0.17	0.9	0.98	0.17	0.8	0.86	0.61	0.57	0.93	0.56	0.31	0.32	0.87	0.89	0.98	0.078	0.62	0.99	0.75	0.84	0.91	0.99	0.92	0.86	0.72	0.4	0.022	0.99	0.031	0.0086	0.89	0.63	0.82	0.071	0.27	0.37	0.063	0.83	1.6e-08	0.00019	0.82	0.98	0.43	0.51	0.38	0.86	0.4	0.87	0.35	0.9	0.41	0.23	0.41	0.24	0.79	0.32	0.97	0.11	0.92	0.74	0.98	0.33	0.45	0.49	0.66	0.86	0.98	0.87	0.68	0.88	0.27	0.049	0.84	0.59	0.8	0.9	0.36	0.88	0.86	0.73	0.83	0.041	0.64	0.61	0.96	0.13	0.73	0.91	0.34	0.97	0.36	0.41	0.88	0.92	0.68	0.85	0.43
YER093C	0.71	0.79	0.23	0.9	0.54	0.49	0.14	0.92	0.097	0.41	0.085	0.43	0.77	0.61	0.58	0.9	0.2	0.69	0.35	0.23	0.52	0.87	0.56	0.67	0.43	0.4	0.48	0.66	0.48	0.52	0.61	0.099	0.74	0.48	0.59	0.81	0.77	0.56	0.59	0.75	0.82	0.95	0.17	0.062	0.3	0.65	0.6	0.99	0.56	0.022	0.018	0.25	0.47	0.92	0.58	0.43	0.68	0.84	0.72	0.23	0.034	0.77	0.28	0.8	0.74	0.85	0.33	1	0.21	0.7	0.82	0.88	0.18	0.68	0.5	0.84	1	0.53	0.45	0.92	0.42	0.71	0.54	0.45	0.66	0.12	0.18	0.14	0.35	0.35	0.17	0.88	0.17	0.69	0.61	0.69	0.86	0.64	0.26	0.45	0.61	0.82	0.46	0.8	0.13	0.48	0.82	0.23	0.44	0.84	0.22	1	0.41
YER093C-A	0.77	0.33	0.59	0.7	0.62	0.87	0.053	0.89	0.14	0.16	0.15	0.64	0.62	0.68	0.67	0.85	0.081	0.56	0.74	0.17	0.82	0.81	0.38	0.43	0.33	0.15	0.55	0.78	0.46	0.84	0.56	0.84	0.63	0.72	0.66	0.8	0.79	0.87	0.73	0.92	0.54	0.88	0.19	0.6	0.072	0.51	0.71	0.62	0.2	0.52	0.08	0.77	0.34	0.88	0.72	0.034	0.61	0.48	0.14	0.14	0.17	0.19	0.085	0.57	0.95	0.7	0.74	0.79	0.015	0.68	0.7	0.71	0.87	0.53	0.55	0.72	0.95	0.42	0.2	0.32	0.7	0.39	0.33	0.71	0.9	0.14	0.37	0.76	0.25	0.45	0.51	0.43	0.33	0.71	0.82	0.74	0.67	0.54	0.5	0.44	0.85	0.76	0.25	0.49	0.072	0.62	0.59	0.12	0.51	0.77	0.76	0.77	0.5
YER094C	0.43	0.68	0.62	0.91	0.96	0.94	0.032	0.96	0.71	0.97	0.0034	0.71	0.86	0.61	0.59	0.88	0.75	0.59	0.83	0.016	0.7	0.076	0.0032	0.67	0.69	0.16	0.23	0.85	0.79	0.95	0.91	0.54	0.85	0.87	0.87	0.5	0.91	0.96	0.4	0.93	0.98	0.95	0.13	0.98	0.48	0.068	0.97	0.98	0.61	0.055	0.0098	0.75	1.2e-06	0.95	0.56	0.024	0.38	0.96	0.48	0.26	0.53	0.85	0.022	0.87	0.92	0.88	0.65	0.069	0.58	0.37	0.97	0.23	0.96	0.24	0.87	0.3	0.95	0.85	0.59	0.72	0.11	0.56	0.89	0.26	0.16	0.59	0.85	0.74	0.88	0.41	0.92	0.71	0.29	0.47	1	0.86	0.88	0.58	0.9	0.00015	0.73	0.23	0.8	0.69	0.22	0.89	0.92	0.4	0.89	0.83	0.25	0.94	0.27
YER095W	0.43	0.68	0.62	0.91	0.96	0.94	0.032	0.96	0.71	0.97	0.0034	0.71	0.86	0.61	0.59	0.88	0.75	0.59	0.83	0.016	0.7	0.076	0.0032	0.67	0.69	0.16	0.23	0.85	0.79	0.95	0.91	0.54	0.85	0.87	0.87	0.5	0.91	0.96	0.4	0.93	0.98	0.95	0.13	0.98	0.48	0.068	0.97	0.98	0.61	0.055	0.0098	0.75	1.2e-06	0.95	0.56	0.024	0.38	0.96	0.48	0.26	0.53	0.85	0.022	0.87	0.92	0.88	0.65	0.069	0.58	0.37	0.97	0.23	0.96	0.24	0.87	0.3	0.95	0.85	0.59	0.72	0.11	0.56	0.89	0.26	0.16	0.59	0.85	0.74	0.88	0.41	0.92	0.71	0.29	0.47	1	0.86	0.88	0.58	0.9	0.00015	0.73	0.23	0.8	0.69	0.22	0.89	0.92	0.4	0.89	0.83	0.25	0.94	0.27
YER096W	0.79	0.38	0.3	0.18	0.47	0.66	0.35	0.9	0.12	0.7	0.51	0.89	0.69	0.58	0.88	0.62	0.47	0.51	0.53	0.73	0.7	0.76	0.38	0.34	0.43	0.46	0.73	0.58	0.48	0.81	0.16	0.18	0.3	0.68	0.9	0.32	0.42	0.57	0.47	0.41	0.82	0.5	0.11	0.38	0.17	0.61	0.97	0.67	0.29	0.098	0.75	0.74	0.41	0.61	0.41	0.53	0.79	0.79	0.041	0.069	0.63	0.39	0.68	0.87	0.021	0.49	0.77	0.37	0.61	0.57	0.41	0.68	0.88	0.83	0.46	0.096	0.51	0.68	0.54	0.25	0.37	0.072	0.75	0.91	0.21	0.19	0.66	0.9	0.42	0.57	0.095	0.59	0.41	0.077	0.22	0.68	0.75	0.76	0.35	0.6	0.37	0.81	0.79	0.18	0.57	0.73	0.62	0.55	0.66	0.35	0.4	0.91	0.58
YER097W	0.75	0.32	0.99	0.48	0.33	0.84	0.12	0.04	0.57	0.91	0.6	0.54	0.52	0.28	0.53	0.29	0.27	0.5	0.92	0.09	0.13	0.45	0.26	0.16	0.48	0.049	0.2	0.93	0.0058	0.16	0.67	0.43	0.37	0.81	0.51	0.091	0.84	0.95	0.69	0.75	0.15	0.54	0.29	0.85	0.39	0.77	0.4	0.21	0.048	0.48	0.33	0.21	1	0.5	0.49	0.19	0.53	0.24	0.16	0.86	0.69	0.62	0.3	0.7	0.61	0.38	1	0.59	0.039	0.17	0.98	0.41	0.043	0.31	0.39	0.27	0.54	0.61	0.0015	0.24	0.93	0.8	0.073	0.76	0.55	0.81	0.85	0.38	0.32	0.34	0.37	0.12	0.26	0.6	0.88	0.36	0.43	1	1	0.59	0.99	0.64	0.89	0.81	0.12	0.6	0.1	0.22	0.83	0.85	0.98	0.29	0.27
YER098W	0.75	0.32	0.99	0.48	0.33	0.84	0.12	0.04	0.57	0.91	0.6	0.54	0.52	0.28	0.53	0.29	0.27	0.5	0.92	0.09	0.13	0.45	0.26	0.16	0.48	0.049	0.2	0.93	0.0058	0.16	0.67	0.43	0.37	0.81	0.51	0.091	0.84	0.95	0.69	0.75	0.15	0.54	0.29	0.85	0.39	0.77	0.4	0.21	0.048	0.48	0.33	0.21	1	0.5	0.49	0.19	0.53	0.24	0.16	0.86	0.69	0.62	0.3	0.7	0.61	0.38	1	0.59	0.039	0.17	0.98	0.41	0.043	0.31	0.39	0.27	0.54	0.61	0.0015	0.24	0.93	0.8	0.073	0.76	0.55	0.81	0.85	0.38	0.32	0.34	0.37	0.12	0.26	0.6	0.88	0.36	0.43	1	1	0.59	0.99	0.64	0.89	0.81	0.12	0.6	0.1	0.22	0.83	0.85	0.98	0.29	0.27
YER099C	0.53	0.17	0.022	0.89	0.83	0.82	0.17	0.16	0.33	0.19	0.0012	0.67	0.91	0.31	0.84	0.72	0.0083	0.34	0.42	0.085	0.44	0.056	0.81	0.74	0.38	0.25	0.85	0.37	0.32	0.67	0.1	0.0082	0.34	0.72	0.71	0.74	0.11	0.64	0.91	0.39	0.72	0.76	0.22	0.33	0.26	0.2	0.32	0.78	0.35	0.75	0.39	0.93	0.32	0.65	0.86	0.25	0.32	0.74	0.4	0.92	0.75	0.24	0.21	0.46	0.74	0.36	0.55	0.38	0.069	0.67	0.94	0.74	0.71	0.89	0.37	0.096	0.15	0.84	0.3	0.72	0.078	0.4	0.47	0.98	0.13	0.0093	0.01	0.51	0.1	0.54	0.036	0.31	0.65	0.26	0.69	0.87	0.67	0.97	0.46	0.007	0.41	0.36	1	0.88	0.39	0.47	0.58	0.49	0.57	0.88	0.71	0.48	0.049
YER100W	0.53	0.17	0.022	0.89	0.83	0.82	0.17	0.16	0.33	0.19	0.0012	0.67	0.91	0.31	0.84	0.72	0.0083	0.34	0.42	0.085	0.44	0.056	0.81	0.74	0.38	0.25	0.85	0.37	0.32	0.67	0.1	0.0082	0.34	0.72	0.71	0.74	0.11	0.64	0.91	0.39	0.72	0.76	0.22	0.33	0.26	0.2	0.32	0.78	0.35	0.75	0.39	0.93	0.32	0.65	0.86	0.25	0.32	0.74	0.4	0.92	0.75	0.24	0.21	0.46	0.74	0.36	0.55	0.38	0.069	0.67	0.94	0.74	0.71	0.89	0.37	0.096	0.15	0.84	0.3	0.72	0.078	0.4	0.47	0.98	0.13	0.0093	0.01	0.51	0.1	0.54	0.036	0.31	0.65	0.26	0.69	0.87	0.67	0.97	0.46	0.007	0.41	0.36	1	0.88	0.39	0.47	0.58	0.49	0.57	0.88	0.71	0.48	0.049
YER101C	0.71	0.79	0.89	0.35	0.32	0.26	0.23	0.021	0.62	0.92	0.89	0.41	0.56	0.18	0.55	0.52	0.71	0.55	0.9	0.55	6.1e-08	0.62	0.66	0.46	0.031	0.71	0.02	0.68	0.061	0.38	0.14	0.3	0.24	0.85	0.21	0.57	0.22	0.48	0.42	0.55	0.64	0.24	0.27	0.41	0.55	0.23	0.091	0.36	0.1	0.42	0.36	0.67	0.34	0.14	0.35	0.068	0.54	0.7	0.38	0.89	0.34	0.76	0.11	0.36	0.62	0.03	0.55	0.81	0.37	0.00089	0.71	0.52	0.24	0.017	0.92	0.16	0.13	0.16	0.028	0.45	0.84	0.8	0.5	0.72	0.068	0.93	0.88	0.5	0.95	0.35	0.96	0.71	0.88	0.36	0.76	0.62	0.71	0.75	0.63	0.26	0.89	0.45	0.19	0.38	0.45	0.02	0.14	0.48	0.94	0.88	0.98	0.26	0.062
YER102W	0.71	0.79	0.89	0.35	0.32	0.26	0.23	0.021	0.62	0.92	0.89	0.41	0.56	0.18	0.55	0.52	0.71	0.55	0.9	0.55	6.1e-08	0.62	0.66	0.46	0.031	0.71	0.02	0.68	0.061	0.38	0.14	0.3	0.24	0.85	0.21	0.57	0.22	0.48	0.42	0.55	0.64	0.24	0.27	0.41	0.55	0.23	0.091	0.36	0.1	0.42	0.36	0.67	0.34	0.14	0.35	0.068	0.54	0.7	0.38	0.89	0.34	0.76	0.11	0.36	0.62	0.03	0.55	0.81	0.37	0.00089	0.71	0.52	0.24	0.017	0.92	0.16	0.13	0.16	0.028	0.45	0.84	0.8	0.5	0.72	0.068	0.93	0.88	0.5	0.95	0.35	0.96	0.71	0.88	0.36	0.76	0.62	0.71	0.75	0.63	0.26	0.89	0.45	0.19	0.38	0.45	0.02	0.14	0.48	0.94	0.88	0.98	0.26	0.062
YER103W	0.7	0.78	0.29	0.36	0.22	0.32	0.94	0.093	0.097	0.59	0.9	0.098	0.11	0.48	0.058	0.51	0.74	0.26	0.46	0.89	0.18	0.24	0.52	0.076	0.2	0.35	0.5	0.17	0.32	0.029	0.41	0.012	0.33	0.6	0.34	0.56	0.16	0.48	0.35	0.17	0.16	0.39	0.0018	0.6	0.77	0.16	0.082	0.06	0.77	0.43	0.59	0.63	0.22	0.035	0.052	0.56	0.37	0.029	0.77	0.73	4.8e-06	0.95	0.57	0.3	0.5	0.15	0.37	0.63	0.78	0.87	0.6	0.41	0.34	0.85	0.99	0.088	0.43	0.16	0.047	1	0.17	0.2	0.28	0.059	0.004	0.88	0.25	0.47	0.96	0.56	0.93	0.28	0.88	0.038	0.1	0.87	0.23	0.6	0.8	0.36	0.2	0.044	0.31	0.2	0.96	0.32	0.22	0.92	0.87	0.78	0.49	0.095	0.59
YER104W	0.79	0.22	0.4	0.78	1	0.93	0.34	0.13	0.97	0.054	0.79	0.8	0.83	0.1	0.98	0.96	0.21	0.91	0.78	0.67	0.57	0.14	0.47	0.45	0.51	0.22	0.53	0.26	0.067	0.51	0.51	0.52	0.15	0.48	0.92	0.75	0.46	0.62	0.98	0.86	0.48	0.87	0.22	0.85	0.9	0.56	0.2	0.53	0.6	0.7	0.43	0.9	0.14	0.29	0.95	0.57	0.18	0.51	0.78	0.56	0.12	0.72	0.7	0.41	0.56	0.68	0.54	0.17	0.26	0.35	0.89	0.79	0.87	0.096	0.31	0.047	0.61	0.19	0.84	0.75	0.91	0.9	0.29	0.15	0.63	0.77	0.94	0.14	0.81	0.64	0.84	0.46	0.22	0.7	0.79	0.94	0.47	0.26	0.79	0.034	0.66	0.3	0.72	0.55	0.56	0.24	0.38	0.47	0.29	0.46	0.99	0.59	0.27
YER105C	0.72	0.35	0.5	0.2	0.82	0.6	0.47	0.16	0.77	0.068	0.74	0.099	0.86	0.44	0.52	0.64	0.67	0.6	0.46	0.26	0.54	0.74	0.84	0.22	0.16	0.42	0.68	0.26	0.23	0.64	0.51	0.59	0.57	0.45	0.11	0.84	0.59	0.36	0.19	0.73	0.7	0.88	0.4	0.45	0.59	0.47	0.77	0.55	0.79	0.88	0.0095	0.93	0.58	0.44	0.54	0.53	0.4	0.95	0.59	0.52	0.21	0.63	0.45	0.9	0.32	0.41	1	0.36	0.12	0.85	0.78	0.0015	0.99	0.22	0.85	0.34	0.11	1	0.81	0.28	0.97	0.43	0.43	0.78	0.93	0.77	0.1	0.39	0.74	0.69	0.8	0.44	0.56	0.23	0.77	0.32	0.0046	0.73	1	0.37	0.46	0.2	0.2	0.58	0.05	0.43	0.74	0.069	0.79	0.13	0.52	0.42	0.71
YER106W	0.72	0.35	0.5	0.2	0.82	0.6	0.47	0.16	0.77	0.068	0.74	0.099	0.86	0.44	0.52	0.64	0.67	0.6	0.46	0.26	0.54	0.74	0.84	0.22	0.16	0.42	0.68	0.26	0.23	0.64	0.51	0.59	0.57	0.45	0.11	0.84	0.59	0.36	0.19	0.73	0.7	0.88	0.4	0.45	0.59	0.47	0.77	0.55	0.79	0.88	0.0095	0.93	0.58	0.44	0.54	0.53	0.4	0.95	0.59	0.52	0.21	0.63	0.45	0.9	0.32	0.41	1	0.36	0.12	0.85	0.78	0.0015	0.99	0.22	0.85	0.34	0.11	1	0.81	0.28	0.97	0.43	0.43	0.78	0.93	0.77	0.1	0.39	0.74	0.69	0.8	0.44	0.56	0.23	0.77	0.32	0.0046	0.73	1	0.37	0.46	0.2	0.2	0.58	0.05	0.43	0.74	0.069	0.79	0.13	0.52	0.42	0.71
YER107C	0.4	0.054	0.64	0.037	0.068	0.2	0.45	0.25	0.068	0.58	0.9	0.54	0.49	0.5	0.33	0.82	0.92	0.22	0.68	0.91	0.57	0.56	0.44	0.3	0.19	0.69	0.88	0.052	0.43	0.12	0.09	0.061	0.33	0.67	0.44	0.35	0.38	0.33	0.28	0.027	0.14	0.74	0.64	0.71	0.75	0.67	0.51	0.64	0.6	0.15	0.91	0.72	0.26	0.019	0.32	1	1	0.31	0.98	0.66	0.044	0.92	0.99	0.34	0.2	0.34	0.0053	0.16	1	0.68	0.13	0.4	0.96	0.68	0.59	0.022	0.073	0.18	0.71	0.67	0.044	0.057	0.32	0.12	0.055	0.92	0.2	0.094	0.87	0.59	0.96	0.086	0.53	0.073	0.43	0.7	0.19	0.57	0.66	0.085	0.24	0.046	0.61	0.39	0.69	0.79	0.46	0.23	0.62	0.23	0.12	0.29	0.18
YER109C	0.51	0.49	0.26	0.67	0.78	0.45	0.23	0.62	0.015	0.49	0.051	0.37	0.81	0.44	0.22	0.7	0.22	0.58	0.84	0.053	0.21	0.23	0.94	0.51	1	0.39	0.42	0.68	0.54	0.8	0.31	0.72	0.059	0.15	0.76	0.4	0.35	0.19	0.23	0.51	0.82	0.9	0.35	0.21	0.42	0.85	0.91	0.39	0.69	0.32	0.091	0.16	0.82	0.77	0.2	0.45	0.41	0.53	0.33	0.74	0.89	0.67	0.64	0.64	0.17	0.67	0.56	0.5	0.48	0.62	0.59	0.83	0.43	0.086	0.38	0.1	0.83	0.5	0.82	1	0.59	0.29	0.28	0.33	0.21	0.61	0.21	0.4	0.75	0.73	0.6	0.59	0.44	0.7	0.12	0.33	0.8	0.53	0.52	0.36	0.22	0.65	0.94	0.51	0.54	0.33	0.75	0.24	0.11	0.12	1	0.77	0.67
YER110C	0.59	0.13	0.47	0.8	0.54	0.51	0.12	0.5	0.57	0.26	0.3	0.43	0.68	0.11	0.52	0.47	0.24	0.82	0.64	0.19	0.52	0.3	0.66	0.67	0.15	0.25	0.19	0.56	0.41	0.65	0.44	0.85	0.84	0.15	0.69	0.51	0.79	0.5	0.7	0.87	0.74	0.55	0.46	0.49	0.55	0.6	0.7	0.77	0.63	0.12	0.14	0.56	0.52	0.67	0.6	0.76	0.48	0.34	0.35	0.81	0.47	0.57	0.15	0.3	0.61	0.056	0.58	0.48	0.66	0.57	0.52	0.77	0.7	0.19	0.54	0.56	0.63	0.082	0.6	0.42	0.71	0.66	0.28	0.82	0.54	0.56	0.57	0.57	0.64	0.18	0.7	0.75	0.24	0.73	0.7	0.55	0.77	0.71	0.05	0.79	0.54	0.37	0.58	0.76	0.33	0.022	0.79	0.36	0.25	0.73	0.58	0.5	0.24
YER111C	0.0012	0.25	0.67	0.11	0.37	0.98	0.36	0.52	0.53	0.52	0.0024	0.97	0.61	0.51	0.53	0.83	0.058	0.69	0.18	0.89	0.85	0.43	0.25	0.24	0.35	0.53	0.87	0.47	0.19	0.62	0.61	0.38	0.69	0.88	0.7	0.59	0.24	0.93	0.69	0.87	0.55	0.72	0.57	0.92	0.53	0.54	0.66	0.36	0.95	0.42	0.84	0.87	3.6e-05	7.9e-05	0.53	0.48	0.41	0.55	0.98	0.9	0.65	0.13	0.98	0.3	0.47	0.54	0.47	0.37	0.96	0.86	0.79	0.07	0.92	0.98	0.67	0.079	0.016	0.45	0.7	0.44	0.42	0.066	0.77	0.063	0.24	0.31	0.83	0.74	0.2	0.77	0.044	0.56	0.11	0.31	0.82	0.89	0.0085	7.9e-05	0.38	1.3e-06	0.47	0.96	0.13	0.56	0.97	0.66	0.7	0.84	0.88	0.44	0.66	0.74	0.033
YER112W	0.0012	0.25	0.67	0.11	0.37	0.98	0.36	0.52	0.53	0.52	0.0024	0.97	0.61	0.51	0.53	0.83	0.058	0.69	0.18	0.89	0.85	0.43	0.25	0.24	0.35	0.53	0.87	0.47	0.19	0.62	0.61	0.38	0.69	0.88	0.7	0.59	0.24	0.93	0.69	0.87	0.55	0.72	0.57	0.92	0.53	0.54	0.66	0.36	0.95	0.42	0.84	0.87	3.6e-05	7.9e-05	0.53	0.48	0.41	0.55	0.98	0.9	0.65	0.13	0.98	0.3	0.47	0.54	0.47	0.37	0.96	0.86	0.79	0.07	0.92	0.98	0.67	0.079	0.016	0.45	0.7	0.44	0.42	0.066	0.77	0.063	0.24	0.31	0.83	0.74	0.2	0.77	0.044	0.56	0.11	0.31	0.82	0.89	0.0085	7.9e-05	0.38	1.3e-06	0.47	0.96	0.13	0.56	0.97	0.66	0.7	0.84	0.88	0.44	0.66	0.74	0.033
YER113C	0.7	0.12	0.5	0.067	0.56	0.4	0.76	0.46	0.53	0.11	0.71	0.23	0.65	0.71	0.059	0.81	0.93	0.4	0.41	0.49	0.52	0.3	0.47	0.16	0.67	0.64	0.59	0.26	0.8	0.56	0.64	0.87	0.28	0.85	0.17	0.13	0.4	0.84	0.36	0.65	0.57	0.48	0.16	0.09	0.37	0.46	0.61	0.089	0.75	0.96	0.34	0.58	0.013	0.39	0.43	0.76	0.021	0.48	0.99	0.77	0.8	0.56	0.45	0.35	0.81	0.57	0.55	0.071	0.88	0.77	0.35	0.65	0.41	0.64	0.59	0.15	0.54	0.54	0.76	0.88	0.2	0.072	0.33	0.22	0.41	0.85	0.33	0.59	0.42	0.33	0.63	0.46	0.55	0.44	0.92	0.85	0.6	0.087	0.6	0.012	0.51	0.25	0.42	0.64	0.14	0.55	0.53	0.097	0.6	0.55	0.92	0.67	0.53
YER114C	0.74	0.72	0.53	0.92	0.31	0.41	0.22	0.36	0.71	0.37	0.0055	0.51	0.5	0.86	0.5	0.82	0.93	0.66	0.77	0.059	0.45	0.17	0.88	0.37	0.64	0.47	0.19	0.78	0.7	0.37	0.32	0.81	0.85	0.77	0.79	0.5	0.48	0.35	0.65	0.18	0.94	0.76	0.59	0.2	0.52	0.098	0.44	0.91	0.057	0.72	0.2	0.45	0.59	0.53	0.51	0.15	0.23	0.4	0.58	0.84	0.9	0.71	0.12	0.54	0.14	0.47	0.59	0.18	0.27	0.78	0.13	0.79	0.21	0.064	0.78	0.48	0.43	0.15	0.81	0.61	0.42	0.18	0.48	0.57	0.47	0.83	0.56	0.017	0.85	0.76	0.45	0.68	0.88	0.65	0.8	0.33	0.87	0.75	0.55	0.51	0.14	0.99	0.43	0.61	0.12	0.72	0.57	0.16	0.77	0.13	0.66	0.43	0.65
YER115C	0.75	0.041	0.57	0.0067	0.48	0.23	0.97	0.31	0.56	0.16	0.68	0.46	0.52	0.46	0.062	0.45	0.4	0.14	0.91	0.47	0.039	0.12	0.25	0.048	0.43	0.54	0.66	0.21	0.48	0.15	0.032	0.33	0.42	0.69	0.35	0.62	0.51	0.45	0.17	0.072	0.32	0.22	0.42	0.43	0.85	0.89	0.038	0.074	0.62	1	0.34	0.85	0.072	0.089	0.21	0.94	0.33	0.19	0.81	0.81	0.47	0.78	0.85	0.65	0.38	0.18	0.63	0.14	0.93	0.34	0.29	0.44	0.45	0.37	0.67	0.14	0.16	0.22	0.22	0.93	0.31	0.0065	0.68	0.51	0.1	0.98	1	0.41	0.94	0.53	0.8	0.57	0.35	0.14	0.12	0.85	0.47	0.64	0.4	0.12	0.064	0.99	0.75	0.61	0.15	0.38	0.56	0.044	0.58	0.51	0.29	0.37	0.22
