ABF1	ACE2	ADR1	ARG80	ARG81	ARO80	ASH1	AZF1	BAS1	CAD1	CBF1	CHA4	CIN5	CRZ1	CUP9	DAL81	DAL82	DIG1	DOT6	ECM22	FHL1	FKH1	FKH2	FZF1	GAL4	GAT1	GAT3	GCN4	GCR1	GCR2	GLN3	GRF10.Pho2.	GTS1	HAA1	HAL9	HAP2	HAP3	HAP4	HAP5	HIR1	HIR2	HMS1	HSF1	IME4	INO2	INO4	IXR1	LEU3	MAC1	MAL13	MAL33	MATa1	MBP1	MCM1	MET31	MET4	MIG1	MOT3	MSN1	MSN2	MSN4	MSS11	MTH1	NDD1	NRG1	PDR1	PHD1	PHO4	PUT3	RAP1	RCS1	REB1	RFX1	RGM1	RGT1	RIM101	RLM1	RME1	ROX1	RPH1	RTG1	RTG3	RTS2	SFL1	SFP1	SIG1	SIP4	SKN7	SKO1	SMP1	SOK2	SRD1	STB1	STE12	STP1	STP2	SUM1	SWI4	SWI5	SWI6	THI2	UGA3	USV1	YAP1	YAP3	YAP5	YAP6	YAP7	YBR267W	YFL044C	YJL206C	ZAP1	ZMS1
YAL012W	0.85	0.69	0.36	0.71	0.94	0.92	0.065	0.52	0.81	0.11	0.013	0.67	0.78	0.4	0.71	0.78	0.95	0.63	0.85	0.023	0.78	0.37	0.76	0.6	0.31	0.019	0.34	0.67	0.25	0.64	0.98	0.84	0.88	0.9	0.87	0.39	0.97	0.94	0.91	0.61	0.62	0.84	0.0037	0.62	0.66	0.57	0.58	0.75	0.08	0.46	0.013	0.93	0.3	0.81	2.4e-08	1.1e-05	0.18	0.2	0.29	0.92	0.66	0.89	0.0065	0.34	0.88	0.48	0.71	0.81	0.02	0.81	0.57	0.92	0.94	0.072	0.95	0.66	0.67	0.43	0.42	0.16	0.049	0.89	0.078	0.96	0.82	0.56	0.073	0.58	0.9	0.95	0.96	0.6	0.95	0.17	0.72	0.94	0.44	0.43	0.8	0.52	0.81	0.29	0.59	0.16	0.049	0.43	0.89	0.16	0.75	0.46	0.46	0.43	0.053
YAL013W	0.72	0.52	0.013	0.96	0.9	0.89	0.37	0.66	0.6	0.29	0.44	0.37	0.63	0.47	0.95	0.76	0.78	0.73	0.72	0.032	0.75	0.2	0.64	0.84	0.61	0.0075	0.38	0.26	0.21	0.88	0.92	0.99	0.54	0.17	0.93	0.95	0.78	0.91	0.65	0.95	0.79	0.3	0.15	0.48	0.72	0.77	0.92	0.73	0.96	0.27	0.0055	0.5	0.46	0.77	0.71	0.59	0.1	0.5	0.36	0.83	0.62	0.88	0.056	0.5	0.91	0.25	0.98	0.39	0.21	0.7	0.83	0.98	0.9	0.32	0.88	0.55	0.93	0.52	0.57	0.32	0.049	0.95	0.18	0.76	1	0.66	0.45	0.098	0.89	0.92	0.9	0.93	0.44	0.64	0.99	0.84	0.64	1	0.23	1	0.96	0.26	0.25	0.97	0.064	0.29	0.93	0.08	1	0.011	1	0.54	0.011
YAL014C	0.72	0.52	0.013	0.96	0.9	0.89	0.37	0.66	0.6	0.29	0.44	0.37	0.63	0.47	0.95	0.76	0.78	0.73	0.72	0.032	0.75	0.2	0.64	0.84	0.61	0.0075	0.38	0.26	0.21	0.88	0.92	0.99	0.54	0.17	0.93	0.95	0.78	0.91	0.65	0.95	0.79	0.3	0.15	0.48	0.72	0.77	0.92	0.73	0.96	0.27	0.0055	0.5	0.46	0.77	0.71	0.59	0.1	0.5	0.36	0.83	0.62	0.88	0.056	0.5	0.91	0.25	0.98	0.39	0.21	0.7	0.83	0.98	0.9	0.32	0.88	0.55	0.93	0.52	0.57	0.32	0.049	0.95	0.18	0.76	1	0.66	0.45	0.098	0.89	0.92	0.9	0.93	0.44	0.64	0.99	0.84	0.64	1	0.23	1	0.96	0.26	0.25	0.97	0.064	0.29	0.93	0.08	1	0.011	1	0.54	0.011
YAL015C	1	0.21	0.13	0.25	0.19	0.34	1	0.41	0.41	1	1	1	0.7	0.56	1	0.54	1	0.78	0.33	1	1	0.29	1	1	0.4	1	1	0.33	0.17	1	0.18	1	0.85	1	1	0.13	0.3	0.36	0.32	0.4	1	1	0.34	1	0.91	1	1	0.71	0.49	0.86	1	0.67	0.26	0.65	0.2	0.59	1	0.076	0.17	0.61	0.4	1	1	0.75	1	1	0.27	0.44	1	1	0.049	0.51	1	1	1	1	1	1	0.3	0.023	1	1	1	1	1	1	0.37	1	1	1	1	1	1	0.75	0.17	0.51	1	0.54	0.51	1	1	1	1	0.67	0.82	1	0.9	1	1	1	1	1	1
YAL016W	0.0023	0.92	0.17	0.48	0.34	0.32	0.69	0.15	0.58	0.31	0.54	0.8	0.74	0.36	0.69	0.65	0.98	0.1	0.43	0.11	0.8	0.53	0.6	0.27	0.14	0.46	0.31	0.19	0.23	0.15	0.55	0.98	0.51	0.79	0.64	0.11	0.51	0.45	0.41	0.63	0.63	0.69	0.82	0.88	0.24	0.88	0.11	0.76	0.28	0.86	0.29	0.79	0.61	0.15	0.072	0.37	0.99	0.32	0.48	0.71	0.36	0.73	0.61	0.86	0.25	0.12	0.24	1	0.091	0.74	0.81	0.55	0.29	0.061	0.63	0.022	0.012	0.98	0.083	0.094	0.41	0.33	0.064	0.74	0.71	0.57	0.02	0.73	0.82	1	0.89	0.068	1	0.034	0.21	0.8	0.27	0.98	1	1	0.21	0.44	0.3	0.98	0.39	0.48	0.86	0.39	0.72	0.43	0.37	0.26	0.088
YAL017W	0.97	0.048	0.0028	0.98	0.84	0.97	0.94	0.61	0.87	0.21	0.34	0.016	0.96	0.07	0.97	0.89	0.13	1	1	0.78	0.079	0.098	0.59	4e-04	0.65	0.54	0.42	0.9	0.75	0.32	0.0069	0.98	0.039	0.22	1	1	0.64	0.56	0.95	0.44	1	0.98	0.8	6.6e-07	0.74	0.47	0.87	0.98	0.47	0.59	0.52	0.59	0.34	1	0.98	0.89	0.18	0.67	1	0.82	0.72	0.88	0.6	0.39	0.00032	0.051	1	0.33	0.55	0.68	0.00031	0.37	0.24	0.14	0.56	0.054	0.58	0.51	0.92	0.92	0.15	0.65	0.6	0.42	0.039	0.19	0.84	1	0.9	0.14	0.8	0.24	0.17	0.96	0.72	0.94	0.52	0.47	2.8e-05	1	0.8	0.48	0.026	0.93	0.034	0.25	0.88	0.0049	0.43	0.0052	0.2	0.93	0.58
YAL018C	0.97	0.048	0.0028	0.98	0.84	0.97	0.94	0.61	0.87	0.21	0.34	0.016	0.96	0.07	0.97	0.89	0.13	1	1	0.78	0.079	0.098	0.59	4e-04	0.65	0.54	0.42	0.9	0.75	0.32	0.0069	0.98	0.039	0.22	1	1	0.64	0.56	0.95	0.44	1	0.98	0.8	6.6e-07	0.74	0.47	0.87	0.98	0.47	0.59	0.52	0.59	0.34	1	0.98	0.89	0.18	0.67	1	0.82	0.72	0.88	0.6	0.39	0.00032	0.051	1	0.33	0.55	0.68	0.00031	0.37	0.24	0.14	0.56	0.054	0.58	0.51	0.92	0.92	0.15	0.65	0.6	0.42	0.039	0.19	0.84	1	0.9	0.14	0.8	0.24	0.17	0.96	0.72	0.94	0.52	0.47	2.8e-05	1	0.8	0.48	0.026	0.93	0.034	0.25	0.88	0.0049	0.43	0.0052	0.2	0.93	0.58
YAL019W	0.6	0.36	0.011	0.9	0.83	0.7	0.17	0.94	0.65	0.38	0.051	0.93	0.88	0.36	0.55	0.81	0.34	0.35	0.83	0.44	0.21	0.43	0.055	0.49	0.9	0.011	0.15	0.5	0.77	0.55	0.33	0.93	0.67	0.69	0.91	0.2	0.84	0.53	0.47	0.59	0.96	0.93	0.059	0.23	0.28	0.097	0.85	0.68	0.19	0.42	0.39	0.56	0.43	0.9	0.46	0.86	0.8	0.79	0.45	0.067	0.069	0.85	0.0017	0.31	0.64	0.98	0.71	0.82	0.58	0.43	0.54	0.75	0.95	0.1	0.93	0.78	1	0.47	0.53	0.49	0.28	0.41	0.37	0.38	0.77	0.66	0.024	0.26	0.81	0.61	0.92	0.57	0.55	0.8	0.75	0.85	0.36	0.57	0.021	1	0.78	0.073	0.67	0.65	0.37	0.35	0.82	0.29	0.55	0.29	0.11	0.79	0.12
YAL020C	0.6	0.36	0.011	0.9	0.83	0.7	0.17	0.94	0.65	0.38	0.051	0.93	0.88	0.36	0.55	0.81	0.34	0.35	0.83	0.44	0.21	0.43	0.055	0.49	0.9	0.011	0.15	0.5	0.77	0.55	0.33	0.93	0.67	0.69	0.91	0.2	0.84	0.53	0.47	0.59	0.96	0.93	0.059	0.23	0.28	0.097	0.85	0.68	0.19	0.42	0.39	0.56	0.43	0.9	0.46	0.86	0.8	0.79	0.45	0.067	0.069	0.85	0.0017	0.31	0.64	0.98	0.71	0.82	0.58	0.43	0.54	0.75	0.95	0.1	0.93	0.78	1	0.47	0.53	0.49	0.28	0.41	0.37	0.38	0.77	0.66	0.024	0.26	0.81	0.61	0.92	0.57	0.55	0.8	0.75	0.85	0.36	0.57	0.021	1	0.78	0.073	0.67	0.65	0.37	0.35	0.82	0.29	0.55	0.29	0.11	0.79	0.12
YAL021C	0.41	0.34	0.16	0.4	0.72	0.41	0.59	0.96	0.84	0.63	0.017	0.6	0.78	0.023	0.9	0.76	0.14	0.25	0.9	0.21	0.37	0.84	1	0.45	0.7	0.028	0.17	0.17	0.55	0.59	0.9	0.91	1	0.35	0.88	0.3	0.74	0.5	0.32	0.17	0.85	0.49	0.13	0.038	0.66	0.42	0.87	0.3	0.71	0.17	0.027	0.69	0.2	1	0.17	0.64	0.37	0.48	0.53	0.42	0.71	0.91	0.042	0.39	0.5	0.78	0.27	0.27	0.32	0.56	0.53	0.6	0.61	0.22	0.88	0.94	0.93	0.81	0.81	0.28	0.57	0.63	0.59	0.84	0.91	0.63	0.0052	0.17	0.92	0.53	0.9	0.94	0.51	0.47	0.4	0.57	0.45	0.49	0.37	1	0.65	0.27	0.57	0.81	0.64	0.55	0.78	0.14	0.23	0.68	0.022	0.59	0.59
