name	ensembl_gene_id	external_gene_name
SRR1258429.filtered.BAM_peak_6293	ENSMUSG00000029213	Commd8
SRR1258429.filtered.BAM_peak_3801	ENSMUSG00000013701	Timm23
SRR1258429.filtered.BAM_peak_6719	ENSMUSG00000005362	Crbn
SRR1258429.filtered.BAM_peak_3977	ENSMUSG00000014313	Cox6c
SRR1258429.filtered.BAM_peak_6940	ENSMUSG00000014418	Hps5
SRR1258429.filtered.BAM_peak_6696	ENSMUSG00000014550	Rbsn
SRR1258429.filtered.BAM_peak_4413	ENSMUSG00000014767	Tbp
SRR1258429.filtered.BAM_peak_3094	ENSMUSG00000020694	Tlk2
SRR1258429.filtered.BAM_peak_1734	ENSMUSG00000014980	Tsen15
SRR1258429.filtered.BAM_peak_7767	ENSMUSG00000015016	Acsf3
SRR1258429.filtered.BAM_peak_2397	ENSMUSG00000015757	Ppil4
SRR1258429.filtered.BAM_peak_3582	ENSMUSG00000015937	H2afy
SRR1258429.filtered.BAM_peak_3790	ENSMUSG00000015971	Actr8
SRR1258429.filtered.BAM_peak_7314	ENSMUSG00000015994	Fnta
SRR1258429.filtered.BAM_peak_8211	ENSMUSG00000016150	Tenm1
SRR1258429.filtered.BAM_peak_8204	ENSMUSG00000016409	Nkap
SRR1258429.filtered.BAM_peak_1498	ENSMUSG00000016528	Mapkapk2
SRR1258429.filtered.BAM_peak_6348	ENSMUSG00000016833	Mrps18c
SRR1258429.filtered.BAM_peak_4438	ENSMUSG00000016946	Kctd5
SRR1258429.filtered.BAM_peak_3051	ENSMUSG00000017221	Psmd3
SRR1258429.filtered.BAM_peak_2957	ENSMUSG00000017421	Zfp207
SRR1258429.filtered.BAM_peak_3160	ENSMUSG00000017466	Timp2
SRR1258429.filtered.BAM_peak_3162	ENSMUSG00000025575	Cant1
SRR1258429.filtered.BAM_peak_3151	ENSMUSG00000017715	Pgs1
SRR1258429.filtered.BAM_peak_5424	NA	NA
SRR1258429.filtered.BAM_peak_5415	ENSMUSG00000017858	Ift52
SRR1258429.filtered.BAM_peak_1634	ENSMUSG00000018189	Uchl5
SRR1258429.filtered.BAM_peak_2905	ENSMUSG00000018286	Psmb6
SRR1258429.filtered.BAM_peak_2862	ENSMUSG00000020537	Drg2
SRR1258429.filtered.BAM_peak_3041	ENSMUSG00000018541	Cwc25
SRR1258429.filtered.BAM_peak_6343	ENSMUSG00000000568	Hnrnpd
SRR1258429.filtered.BAM_peak_7195	ENSMUSG00000019470	Xab2
SRR1258429.filtered.BAM_peak_2402	ENSMUSG00000019808	Adat2
SRR1258429.filtered.BAM_peak_2402	ENSMUSG00000019809	Pex3
SRR1258429.filtered.BAM_peak_2464	ENSMUSG00000019863	Qrsl1
SRR1258429.filtered.BAM_peak_2405	ENSMUSG00000019868	Vta1
SRR1258429.filtered.BAM_peak_2478	ENSMUSG00000019877	Serinc1
SRR1258429.filtered.BAM_peak_2595	ENSMUSG00000019897	Ccdc59
SRR1258429.filtered.BAM_peak_2422	ENSMUSG00000019984	Med23
SRR1258429.filtered.BAM_peak_2577	ENSMUSG00000019988	Nedd1
SRR1258429.filtered.BAM_peak_2579	ENSMUSG00000020018	Snrpf
SRR1258429.filtered.BAM_peak_2618	ENSMUSG00000020114	Cand1
SRR1258429.filtered.BAM_peak_2619	ENSMUSG00000020114	Cand1
SRR1258429.filtered.BAM_peak_2613	ENSMUSG00000020140	Lgr5
SRR1258429.filtered.BAM_peak_2524	ENSMUSG00000020153	Ndufs7
SRR1258429.filtered.BAM_peak_2505	ENSMUSG00000020180	Snrpd3
SRR1258429.filtered.BAM_peak_2620	ENSMUSG00000020225	Tmbim4
SRR1258429.filtered.BAM_peak_2733	ENSMUSG00000020280	Pus10
SRR1258429.filtered.BAM_peak_2752	ENSMUSG00000020305	Asb3
SRR1258429.filtered.BAM_peak_2731	ENSMUSG00000007739	Cct4
SRR1258429.filtered.BAM_peak_2822	ENSMUSG00000020386	Sar1b
SRR1258429.filtered.BAM_peak_2793	ENSMUSG00000020409	Slu7
SRR1258429.filtered.BAM_peak_2677	ENSMUSG00000020413	Hus1
SRR1258429.filtered.BAM_peak_2653	ENSMUSG00000020430	Pes1
SRR1258429.filtered.BAM_peak_2748	ENSMUSG00000020459	Mtif2
SRR1258429.filtered.BAM_peak_2984	ENSMUSG00000020495	Smg8
SRR1258429.filtered.BAM_peak_3199	ENSMUSG00000020621	Rdh14
SRR1258429.filtered.BAM_peak_3233	ENSMUSG00000020648	Dus4l
SRR1258429.filtered.BAM_peak_3188	ENSMUSG00000020657	Dnajc27
SRR1258429.filtered.BAM_peak_3131	ENSMUSG00000018858	Mrpl58
SRR1258429.filtered.BAM_peak_3137	ENSMUSG00000020752	Recql5
